femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4501-GA,4501,GA,DR,2020-03-29T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,0,13,1,99001,Appling (County),20097,2025-09-30T00:00:00.000Z,2023-06-26T16:01:24.896Z,6ac38e1e9cb4e6ab6f70c5a39819ecfce72cfa40,fc92a7f7-82c9-4325-b5b6-40cc773c5a5a,2020,31.749434,-82.28874491
DR-4501-GA,4501,GA,DR,2020-03-29T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,0,13,3,99003,Atkinson (County),20097,2025-09-30T00:00:00.000Z,2023-06-26T16:01:24.896Z,439c437c81780ff98bb1df8becdab9e5fc0aec17,460f6fc9-5362-470d-942b-276ae8cffcfc,2020,31.29704319,-82.88008089
DR-4501-GA,4501,GA,DR,2020-03-29T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,0,13,5,99005,Bacon (County),20097,2025-09-30T00:00:00.000Z,2023-06-26T16:01:24.896Z,7281f26ae7ac371befae93deacf52c7b9a26fe4f,536f5158-b7dc-4c22-8938-3029d0c89286,2020,31.55377644,-82.45269728
DR-4591-AL,4591,AL,DR,2021-03-28T00:00:00.000Z,2021,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,1,0,61430,Poarch Band of Creek Indians,20185,,2023-05-22T03:41:22.800Z,94f4b198b44b93b52f54f66964b65948482e8274,ddd02c42-f592-40fa-8dd3-45a047fef44b,2021,,
DR-4582-AZ,4582,AZ,DR,2021-02-02T00:00:00.000Z,2021,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,4,0,48845,Navajo Nation Reservation (Also NM and UT),21006,,2023-05-22T03:41:22.800Z,e4287f4f5da091d1e67efe30c4d933f05e4f89e0,860fac14-1b9b-47ac-8443-764b217db2e9,2021,,
DR-4545-FL,4545,FL,DR,2020-05-08T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,0,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,12,0,6400,Big Cypress Indian Reservation,20175,,2023-05-22T03:41:22.800Z,53278bf8713659a8727a396f5ec81c430cd3cc5e,ba7e16d4-8e5c-4848-93a6-1391777029b2,2020,,
DR-4545-FL,4545,FL,DR,2020-05-08T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,0,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,12,0,8550,Brighton Indian Reservation,20175,,2023-05-22T03:41:22.800Z,26c17fbf9cb4750c4aa2f85d22c884dcc9dca63a,d0e39921-ed04-4a8b-a8cf-cbb639c008d4,2020,,
DR-4545-FL,4545,FL,DR,2020-05-08T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,0,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,12,0,24330,Fort Pierce Indian Reservation,20175,,2023-05-22T03:41:22.800Z,eed2dde7da70bbeec0ae025fe21900ccb66bbaaf,1039e8bd-def5-42cb-8f41-33f0f2890af9,2020,,
DR-4545-FL,4545,FL,DR,2020-05-08T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,0,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,12,0,32125,Hollywood Indian Reservation,20175,,2023-05-22T03:41:22.800Z,f6dbefc74f1da967dee86b124b9a2bb536373623,74d21f83-abbe-4f9c-ba79-2d73b10374d9,2020,,
DR-4545-FL,4545,FL,DR,2020-05-08T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,0,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,1,12,0,33260,Immokalee Indian Reservation,20175,,2023-05-22T03:41:22.800Z,1995477acad835c3ae1f8afec264ad8bb8e7afff,7d064217-3575-4c8a-8b9f-4a4feecbf884,2020,,
