femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4547-MI,4547,MI,DR,2020-07-09T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,1,0,1,1,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,,0,26,11,99011,Arenac (County),20198,2020-09-30T00:00:00.000Z,2023-05-22T03:41:22.800Z,addcf69528a0806fb0bcd12e7bd6b2b017d7373b,06504617-e870-4ec7-9138-b201aca6d094,2020,44.0651223,-83.89498203
DR-4547-MI,4547,MI,DR,2020-07-09T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,1,0,1,1,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,,0,26,51,99051,Gladwin (County),20198,2020-09-30T00:00:00.000Z,2023-05-22T03:41:22.800Z,abbc23efad786027c6911d9770900cf72cb72f99,a1e39416-8e06-4b04-8d5c-207f5acda73d,2020,43.99062122,-84.38860114
DR-4547-MI,4547,MI,DR,2020-07-09T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,1,0,1,1,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,,0,26,69,99069,Iosco (County),20198,2020-09-30T00:00:00.000Z,2023-05-22T03:41:22.800Z,07083ec9381054fa791df052e448f0f80e5a85f4,f4879457-2a23-4f2f-af9b-3cedec7fa427,2020,44.35578542,-83.63669002
DR-4547-MI,4547,MI,DR,2020-07-09T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,1,0,1,1,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,,0,26,111,99111,Midland (County),20198,2020-09-30T00:00:00.000Z,2023-05-22T03:41:22.800Z,e1753fc4cbac68acd56cd30f380f4c6ca0f832e5,aec1ee89-fef8-42f8-8c4d-59f0e0151306,2020,43.64674881,-84.38804837
DR-4547-MI,4547,MI,DR,2020-07-09T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,1,0,1,1,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,,0,26,145,99145,Saginaw (County),20198,2020-09-30T00:00:00.000Z,2023-05-22T03:41:22.800Z,6e82de2ca144499ecccfd912aeea08118932b12a,07f54d78-986b-49e1-88d4-1398b156bc49,2020,43.33526107,-84.0526996
EM-3525-MI,3525,MI,EM,2020-05-21T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,0,0,1,0,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,26,51,99051,Gladwin (County),20187,,2023-05-22T03:41:22.800Z,eaa958b382c35b78a63634a2e261be653b684f07,e83075db-3581-4be5-8e10-1aa53a875aa5,2020,43.99062122,-84.38860114
EM-3525-MI,3525,MI,EM,2020-05-21T00:00:00.000Z,2020,Dam/Levee Break,SEVERE STORMS AND FLOODING,0,0,1,0,2020-05-16T00:00:00.000Z,2020-05-22T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,26,111,99111,Midland (County),20187,,2023-05-22T03:41:22.800Z,1f7e410ca48a6a9a282433704e472bd7575684d5,bd092f47-5e0b-4b82-ba3c-4f17fb499f0a,2020,43.64674881,-84.38804837
EM-3381-CA,3381,CA,EM,2017-02-14T00:00:00.000Z,2017,Dam/Levee Break,POTENTIAL FAILURE OF THE EMERGENCY SPILLWAY AT OROVILLE LAKE,0,0,1,0,2017-02-07T00:00:00.000Z,2017-02-23T00:00:00.000Z,,0,6,7,99007,Butte (County),17013,,2023-05-22T03:41:22.800Z,4ed3409eec438c033dfc920c7c73f2d07e58dd17,84d1ba10-5525-4e0b-bdc8-00dd2351b70a,2017,39.66681952,-121.6008508
EM-3381-CA,3381,CA,EM,2017-02-14T00:00:00.000Z,2017,Dam/Levee Break,POTENTIAL FAILURE OF THE EMERGENCY SPILLWAY AT OROVILLE LAKE,0,0,1,0,2017-02-07T00:00:00.000Z,2017-02-23T00:00:00.000Z,,0,6,101,99101,Sutter (County),17013,,2023-05-22T03:41:22.800Z,7e084b46f943bf1453927ed67ee3f02e3214aa07,458b2d12-94ae-4199-8707-308cb0679ea4,2017,39.03464654,-121.6946189
EM-3381-CA,3381,CA,EM,2017-02-14T00:00:00.000Z,2017,Dam/Levee Break,POTENTIAL FAILURE OF THE EMERGENCY SPILLWAY AT OROVILLE LAKE,0,0,1,0,2017-02-07T00:00:00.000Z,2017-02-23T00:00:00.000Z,,0,6,115,99115,Yuba (County),17013,,2023-05-22T03:41:22.800Z,88c14988a651ad9404b1454f090e01b5cf795efd,80b87162-5dc4-4a46-82a6-e9d55c711172,2017,39.26930746,-121.3508296
