femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
EM-3276-FM,3276,FM,EM,2007-07-31T00:00:00.000Z,2007,Drought,DROUGHT,0,0,1,0,2007-03-05T00:00:00.000Z,2007-11-02T00:00:00.000Z,2012-08-22T00:00:00.000Z,0,64,2,99002,Chuuk (County-equivalent),7847,,2023-05-22T03:41:22.800Z,aa00fe88e0df53578947811337be04c01e6d6b88,65ebfdc2-6f95-49f3-901a-f52a47a3dc7c,2007,,
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,1,99001,Anderson (County),93043,,2023-05-22T03:41:22.800Z,e9f294eada870bcbf88a5a918fafd9cf9efb8fb4,f0733d86-de42-4d40-99cc-f3299829778f,1993,31.81341571,-95.65255946
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,9,99009,Archer (County),93043,,2023-05-22T03:41:22.800Z,0103f623349e1ba7cc67b8c02d23a8d77ed02f29,b1ac1a0c-98b0-4861-ae64-fb10f7e8c2a2,1993,33.61569967,-98.68754589
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,13,99013,Atascosa (County),93043,,2023-05-22T03:41:22.800Z,573c4847729d9fdee3a06b70ccf9d69f8d6c7e06,074f40e4-2fde-4b64-822e-ee31ada2221b,1993,28.89331115,-98.52716292
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,15,99015,Austin (County),93043,,2023-05-22T03:41:22.800Z,7c6bf6ff99f346b3f05a5760c4225daf8cea6e5d,75162579-47ed-422a-ae8d-4abcfebd1bd3,1993,29.88707804,-96.27800561
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,19,99019,Bandera (County),93043,,2023-05-22T03:41:22.800Z,5043be3081af08e3c4f2c1ff00736bc4f5ced964,5de0c435-bf72-4eb8-a31b-9cbfe86174d9,1993,29.74699689,-99.24640517
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,21,99021,Bastrop (County),93043,,2023-05-22T03:41:22.800Z,6849d85673d1e3ecbaf96bf6a1f941e571b71fd7,b842759a-d595-4ec1-b8fc-26d11fedd339,1993,30.10367452,-97.31201625
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,23,99023,Baylor (County),93043,,2023-05-22T03:41:22.800Z,b04f1278b5d40b0a0987342b2397880e99e34ab2,8bdfeb6d-c390-4cb6-8ddb-3462d8119f2a,1993,33.61640794,-99.21352901
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,25,99025,Bee (County),93043,,2023-05-22T03:41:22.800Z,aabd6ce1285844ef4fe883b2eee0016d5ba46f1e,2fdd2e03-81d6-430a-98ac-5823362e7d39,1993,28.41736711,-97.74102624
EM-3113-TX,3113,TX,EM,1993-09-10T00:00:00.000Z,1993,Drought,EXTREME FIRE HAZARD,0,0,1,0,1993-08-30T00:00:00.000Z,1993-11-15T00:00:00.000Z,1994-06-30T00:00:00.000Z,0,48,27,99027,Bell (County),93043,,2023-05-22T03:41:22.800Z,3f1805155971e33785c119821e76ac3aa550c598,4eb0690d-e956-4078-995a-9c6bcb64fc25,1993,31.03762665,-97.47823134
