femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4692-CA,4692,CA,DR,2023-03-08T00:00:00.000Z,2023,Earthquake,EARTHQUAKE,0,0,1,1,2022-12-20T00:00:00.000Z,2023-01-01T00:00:00.000Z,,1,6,0,62564,Rohnerville Rancheria (Indian Reservation),23018,,2023-05-22T03:41:22.800Z,31c7e6a983cbf97c2245b930bcdb7aad066f2188,d3b1a67f-1262-49cb-9cbe-67aa33c9a638,2023,,
DR-4548-UT,4548,UT,DR,2020-07-09T00:00:00.000Z,2020,Earthquake,EARTHQUAKE AND AFTERSHOCKS,1,0,0,1,2020-03-18T00:00:00.000Z,2020-04-17T00:00:00.000Z,,0,49,11,99011,Davis (County),20184,2020-09-08T00:00:00.000Z,2023-05-22T03:41:22.800Z,ec637d113d954ab621041b3d53d5d77cf87ed832,bc446ee4-2269-41a4-aeba-f3536b5a6da7,2020,40.99072955,-112.1116607
DR-4548-UT,4548,UT,DR,2020-07-09T00:00:00.000Z,2020,Earthquake,EARTHQUAKE AND AFTERSHOCKS,1,0,1,1,2020-03-18T00:00:00.000Z,2020-04-17T00:00:00.000Z,,0,49,35,99035,Salt Lake (County),20184,2020-09-08T00:00:00.000Z,2023-05-22T03:41:22.800Z,bc35601d006e067a430227aeb01f0824065af63a,8d5f6599-63d5-4b6f-8253-bc9edab664e5,2020,40.66728813,-111.9241028
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,3,99003,Aguada (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,7b24bba7686739e5ae00038de9331bc4c213f9fa,ef6b640d-08db-45c4-aeeb-6635b362553f,2020,18.36039221,-67.17524655
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,11,99011,Anasco (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,04f68b0ffe383c64df9109ca0932669cf43694f2,560c2c88-a9a2-48c4-9bc7-9f34a91d406f,2020,18.28872155,-67.12171471
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,13,99013,Arecibo (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,327899d60671f313f7a44860dfe2c64224a7cc60,a78186f5-1aad-4afb-992f-51bbc8020b94,2020,18.40653954,-66.6740025
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,17,99017,Barceloneta (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,11fa2fee1b78bb3ec403abcba8320a2a418584a9,e6419c1c-d772-4655-afba-4cd8979324c2,2020,18.44638293,-66.55881898
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,23,99023,Cabo Rojo (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,347497b2be5b587d49695fed3ce820c727c63f30,1fda3aba-db9f-45c3-ba33-1b6f7826c730,2020,18.03901469,-67.15457364
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,39,99039,Ciales (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,1d7cb24f1b5aedff34209fc9e584af9c6f1518f7,5b335b04-1723-482e-bfa3-2c278f9febb4,2020,18.29014773,-66.51671207
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,43,99043,Coamo (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,32b2b713617698440c0418ec053bfbc86176d368,0e401b36-a912-4d2c-95e7-1ac6e0f3ac0a,2020,18.09702641,-66.36025819
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,47,99047,Corozal (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,2216f106c900adf9a7daf903cc6482e8b2ed29d7,f55b648d-a97d-4932-ad76-afa86d6b6efc,2020,18.3041008,-66.32896683
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,67,99067,Hormigueros (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,745b46f18cd664ea26f9ae837a2a6e8d9724a93d,650f9432-940c-4c88-9e98-52a07cc99e78,2020,18.13495788,-67.11577339
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,81,99081,Lares (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,8f18142dfcc7ef709683cb7554e525a37fe85fe6,a35581de-d20c-4500-a461-40401867f2f4,2020,18.26903434,-66.86725626
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,93,99093,Maricao (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,6acb01eb8efdd8b8ee1a63cbc869c2ca28140a25,86fa9e8b-83a8-4ecb-b4f0-dc337609a11a,2020,18.1724996,-66.94265627
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,99,99099,Moca (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,48693d55d86b9934cf3c90188731695f6ffd6c15,bac9e59d-8dae-4f9d-9bec-eedac2b00f11,2020,18.37783653,-67.08090202
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,101,99101,Morovis (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,e14743e610ec515e361ded5ebfa2f2b54643e927,dd4c69de-503e-40cd-9b99-9c2561cd3b9d,2020,18.31742228,-66.42009023
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,105,99105,Naranjito (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,4e0c30502954016de52230776032763016c999df,6c083d5c-94e9-4c39-bdc0-e70f1eab97be,2020,18.28716348,-66.25362073
DR-4473-PR,4473,PR,DR,2020-01-16T00:00:00.000Z,2020,Earthquake,EARTHQUAKES,1,0,0,1,2019-12-28T00:00:00.000Z,2020-07-03T00:00:00.000Z,,0,72,107,99107,Orocovis (Municipio),20002,2020-07-02T00:00:00.000Z,2023-05-22T03:41:22.800Z,79bcbf5a850395973d35b4f3bcdc5413102812ef,baa63f7d-fb25-42de-9c75-bd5c52add50c,2020,18.21446774,-66.4354442
