femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,5,99005,Cumberland (County),80069,,2023-05-22T03:41:22.800Z,6905b8122de24ef487f8411d271f84f8eabcf2ab,9df122dd-4c31-408a-8ddc-5edb5e857817,1980,43.83897334,-70.37661287
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,9,99009,Hancock (County),80069,,2023-05-22T03:41:22.800Z,fed6774ea5f79cc7293bd7cc07cd1bb075b98418,119bcaa9-f9bd-4c5c-b042-f2486cd6dc7f,1980,44.64373173,-68.35862848
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,13,99013,Knox (County),80069,,2023-05-22T03:41:22.800Z,7469eb59f6de2f4c4f9e192c68f3fd2c00ad7905,c719de6c-cb24-47cb-9f65-f07e5c4f4c77,1980,44.12441708,-69.15278458
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,15,99015,Lincoln (County),80069,,2023-05-22T03:41:22.800Z,06b800bdc0755ea072fd7e91b7283df56ca5bde3,245b012a-551f-48ee-bb67-fd1ea45b8a06,1980,44.06333351,-69.54198777
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,23,99023,Sagadahoc (County),80069,,2023-05-22T03:41:22.800Z,cd4d80f57b2b209401bdaba77d87101fceba0fe4,362e041f-d754-4f66-9b7f-fe045c9551fc,1980,43.95888365,-69.85358192
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,27,99027,Waldo (County),80069,,2023-05-22T03:41:22.800Z,f7550bac312edd4fa4f4c716a4c79fa7c74d6361,04a6e1c0-c897-438b-9c9e-3560b2c475cc,1980,44.50136648,-69.14427892
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,29,99029,Washington (County),80069,,2023-05-22T03:41:22.800Z,acfd87bce5f658a371d97a26ab518d1d1e43c0ea,afbc593e-e32b-4000-9840-34ee782c3ca7,1980,45.02177186,-67.62910779
EM-3082-ME,3082,ME,EM,1980-09-20T00:00:00.000Z,1980,Fishing Losses,RED TIDE-TOXIC ALGAE,0,1,0,0,1980-09-20T00:00:00.000Z,1980-09-20T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,23,31,99031,"York (County)(in MSA 6400,6450)",80069,,2023-05-22T03:41:22.800Z,675a3922a7be4e1dab95d0e3276a90112ba776bd,e993fb65-6d96-4559-9260-8af1575279d9,1980,43.47829059,-70.7143165
DR-1038-CA,1038,CA,DR,1994-09-13T00:00:00.000Z,1994,Fishing Losses,THE EL NINO (THE SALMON INDUSTRY),0,1,0,0,1994-05-01T00:00:00.000Z,1994-10-31T00:00:00.000Z,2000-09-29T00:00:00.000Z,0,6,15,99015,Del Norte (County),94048,,2023-05-22T03:41:22.800Z,5804bc1ddeefaf444b92ccbb55ae70a0e3f77598,945d3648-0e3f-4619-9fb1-19a7820d809a,1994,41.74323775,-123.8971513
DR-1038-CA,1038,CA,DR,1994-09-13T00:00:00.000Z,1994,Fishing Losses,THE EL NINO (THE SALMON INDUSTRY),0,1,0,0,1994-05-01T00:00:00.000Z,1994-10-31T00:00:00.000Z,2000-09-29T00:00:00.000Z,0,6,23,99023,Humboldt (County),94048,,2023-05-22T03:41:22.800Z,927853b655836dfef8802923eb22bc50932d62c6,d7287f6f-32b5-426a-a5b8-259f47c24e32,1994,40.69940115,-123.8755258
