femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,,0,8,9,99009,Baca (County),23081,,2023-10-02T19:21:20.859Z,44d903d3d79b5295f58aefdd35682a8d3011644d,fe1befa2-d7ac-4400-b430-36bf30ac9a15,2023,37.31923997,-102.5601186
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,,0,8,61,99061,Kiowa (County),23081,,2023-10-02T19:21:20.859Z,ecfd4777766336e18a46d1eb231fc25922f8b014,880f5941-94fb-4c00-afb8-2f1e32fe1b5b,2023,38.43263854,-102.7389041
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,,0,8,99,99099,Prowers (County),23081,,2023-10-02T19:21:20.859Z,90ab966409613986143ee242870748e8d19aa525,875a66ca-6234-423a-9e92-3626484e11d6,2023,37.95519022,-102.3932762
DR-4731-CO,4731,CO,DR,2023-08-25T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,2023-06-08T00:00:00.000Z,2023-06-23T00:00:00.000Z,,0,8,119,99119,Teller (County),23081,,2023-10-02T19:21:20.859Z,f5c24bf0051b6c9079aedee03c1770ffde5fabb0,a2da5a28-1e9e-4364-9f8d-4dd1cded0d15,2023,38.88227296,-105.1619203
DR-4711-KY,4711,KY,DR,2023-05-09T00:00:00.000Z,2023,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-15T00:00:00.000Z,2023-02-20T00:00:00.000Z,,0,21,13,99013,Bell (County),23027,,2023-05-22T03:41:22.800Z,8c080f213e05835817fbca107d800ddebb397ea8,ae02b4f3-e31f-4790-828b-7317265c9737,2023,36.73094679,-83.67369514
DR-4711-KY,4711,KY,DR,2023-05-09T00:00:00.000Z,2023,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-15T00:00:00.000Z,2023-02-20T00:00:00.000Z,,0,21,25,99025,Breathitt (County),23027,,2023-05-22T03:41:22.800Z,e46ce3a24e5141b9961bad107a8962db07bac773,44a17697-a774-4f17-8152-7f7332d3a541,2023,37.5214728,-83.32358216
DR-4711-KY,4711,KY,DR,2023-05-09T00:00:00.000Z,2023,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-15T00:00:00.000Z,2023-02-20T00:00:00.000Z,,0,21,33,99033,Caldwell (County),23027,,2023-05-22T03:41:22.800Z,dafca73bcdc07ee0696ff0b0ef245000e6531e49,47f0394d-b391-47a4-864d-26abb3736259,2023,37.14556161,-87.86831993
DR-4711-KY,4711,KY,DR,2023-05-09T00:00:00.000Z,2023,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-15T00:00:00.000Z,2023-02-20T00:00:00.000Z,,0,21,43,99043,Carter (County),23027,,2023-05-22T03:41:22.800Z,d6d0f0665f6e82bdd3d178f44f34215690e98075,adc3d872-63d9-425a-9275-387633356b04,2023,38.31813851,-83.0504524
DR-4711-KY,4711,KY,DR,2023-05-09T00:00:00.000Z,2023,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-15T00:00:00.000Z,2023-02-20T00:00:00.000Z,,0,21,51,99051,Clay (County),23027,,2023-05-22T03:41:22.800Z,546d9996e7c7f48e538ac8b37564623c0b4471db,7ef11c7e-1969-4163-94b2-239f87012c67,2023,37.15962402,-83.71435179
DR-4711-KY,4711,KY,DR,2023-05-09T00:00:00.000Z,2023,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-15T00:00:00.000Z,2023-02-20T00:00:00.000Z,,0,21,63,99063,Elliott (County),23027,,2023-05-22T03:41:22.800Z,124f3633eba8c16f2b6de4e25400aa25a00b1f87,fd6ab98d-64e4-41c4-b7d8-b54727bff1a4,2023,38.11810953,-83.09731571
