femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4661-AK,4661,AK,DR,2022-07-26T00:00:00.000Z,2022,Mud/Landslide,LANDSLIDE,0,0,1,1,2022-05-07T00:00:00.000Z,2022-05-07T00:00:00.000Z,,0,2,122,99122,Kenai Peninsula (Borough),22053,,2023-05-22T03:41:22.800Z,395c666f8393e0f51675f09281d85cb2b823cab7,fdf94c42-2be4-407e-880a-cdbf8bb5629a,2022,60.2537748,-151.5611779
DR-4585-AK,4585,AK,DR,2021-02-17T00:00:00.000Z,2021,Mud/Landslide,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-11-30T00:00:00.000Z,2020-12-02T00:00:00.000Z,,0,2,100,99100,Haines (Borough),21005,,2023-05-22T03:41:22.800Z,8d1eb14928fbf1bd07c973c1a9bdf3953dc5ff83,84ea7537-2c6f-41ef-84a3-6c5df5dd10d6,2021,59.11793896,-135.5024208
DR-4585-AK,4585,AK,DR,2021-02-17T00:00:00.000Z,2021,Mud/Landslide,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-11-30T00:00:00.000Z,2020-12-02T00:00:00.000Z,,0,2,110,99110,Juneau (Borough),21005,,2023-05-22T03:41:22.800Z,4161014dd33636f5f189ab8fca5fa1e5dff87bb1,6faaee89-8a50-4cee-b1fe-c8ccc71a6ed5,2021,58.45091866,-134.1764399
DR-4585-AK,4585,AK,DR,2021-02-17T00:00:00.000Z,2021,Mud/Landslide,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-11-30T00:00:00.000Z,2020-12-02T00:00:00.000Z,,0,2,195,99195,Petersburg (Borough),21005,,2023-05-22T03:41:22.800Z,d72c2c9fb69a8728f60fc1ae6503b3a286e4e6a8,ce04a9b2-36ca-4261-8224-8ae16e6cb6ae,2021,57.11988808,-132.9333517
DR-4585-AK,4585,AK,DR,2021-02-17T00:00:00.000Z,2021,Mud/Landslide,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-11-30T00:00:00.000Z,2020-12-02T00:00:00.000Z,,0,2,230,99230,Skagway (Municipality),21005,,2023-05-22T03:41:22.800Z,538662ad5d5dfe9b6fc5f7345b7accdec9dd7d5f,58d26fa3-13a4-4e53-bda6-e0a0573f733d,2021,59.55833766,-135.3374592
DR-4585-AK,4585,AK,DR,2021-02-17T00:00:00.000Z,2021,Mud/Landslide,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-11-30T00:00:00.000Z,2020-12-02T00:00:00.000Z,,0,2,280,12575,Chatham Regional Educational Attendance Area,21005,,2023-05-22T03:41:22.800Z,11677fd8a7f86bc79610429c97148010221d6a13,73eb8cc2-61da-4376-8f8d-941d806250bd,2021,,
DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,0,54,9,99009,Brooke (County),18010,,2023-05-22T03:41:22.800Z,29cd31ccf8f8e5d9041d3b92d4bd2a4877f80d9e,5669411c-4b2a-479c-9619-f6b74a0a3bfc,2018,40.27385743,-80.57654665
DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,0,54,11,99011,Cabell (County),18010,,2023-05-22T03:41:22.800Z,04be14a9ad8d8ef1c8e906372b25ae7a3887b104,379f28e0-3097-47f3-97a4-201238b00693,2018,38.42049789,-82.24144949
DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,0,54,13,99013,Calhoun (County),18010,,2023-05-22T03:41:22.800Z,cb757c5552c5b98180135d1a953c6f39aa2ca1b8,bfd592ee-f335-4d31-9b52-93ab433239eb,2018,38.84382602,-81.11738243
DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,0,54,17,99017,Doddridge (County),18010,,2023-05-22T03:41:22.800Z,25b8e9e4d4c6d951ab4ed091cbd470e709fa4816,53324308-fea1-4e43-97cf-b28e77a1cd66,2018,39.26936104,-80.70721363
DR-4359-WV,4359,WV,DR,2018-04-17T00:00:00.000Z,2018,Mud/Landslide,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2018-02-14T00:00:00.000Z,2018-02-20T00:00:00.000Z,,0,54,29,99029,Hancock (County),18010,,2023-05-22T03:41:22.800Z,7463123fee7217e7d1f831cdc1625d0944faeb3c,ccc1887f-63b0-4e90-a044-c11f1c02c24e,2018,40.52189394,-80.57390126
