femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4608-MT,4608,MT,DR,2021-08-13T00:00:00.000Z,2021,Other,STRAIGHT-LINE WINDS,0,0,1,1,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,,0,30,21,99021,Dawson (County),21062,,2023-05-22T03:41:22.800Z,bde437f8b01085a932c601ad1596ca169d441594,904857df-679b-431d-8cd7-a898238868b8,2021,47.26636057,-104.899515
DR-4608-MT,4608,MT,DR,2021-08-13T00:00:00.000Z,2021,Other,STRAIGHT-LINE WINDS,0,0,1,1,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,,0,30,33,99033,Garfield (County),21062,,2023-05-22T03:41:22.800Z,de1dcf0e4233d36bf373fa3063b30f763fe24f84,b7acfa35-93f3-456f-8769-ffdf3ff8d7b8,2021,47.27767106,-106.9928862
DR-4608-MT,4608,MT,DR,2021-08-13T00:00:00.000Z,2021,Other,STRAIGHT-LINE WINDS,0,0,1,1,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,,0,30,55,99055,McCone (County),21062,,2023-05-22T03:41:22.800Z,4b7cca1e480ba8f6c525f80f05d6cea354987d65,8a5714e7-a498-4a5c-91d5-f2cec3bc75ed,2021,47.64515532,-105.7952945
DR-4608-MT,4608,MT,DR,2021-08-13T00:00:00.000Z,2021,Other,STRAIGHT-LINE WINDS,0,0,1,1,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,,0,30,83,99083,Richland (County),21062,,2023-05-22T03:41:22.800Z,be4a3f09e37e11e2cbe2f36f360242fbdcb8821f,23e66099-a488-4e03-950e-9650b56bd1d9,2021,47.78794828,-104.5616375
DR-4608-MT,4608,MT,DR,2021-08-13T00:00:00.000Z,2021,Other,STRAIGHT-LINE WINDS,0,0,1,1,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,,0,30,85,99085,Roosevelt (County),21062,,2023-05-22T03:41:22.800Z,1fab0b74a0d4d633c833526c2b9205ec44fea6fc,b1aa51fa-a854-409e-9929-12ba96796761,2021,48.29447097,-105.0162772
DR-4136-TX,4136,TX,DR,2013-08-02T00:00:00.000Z,2013,Other,EXPLOSION,0,0,1,1,2013-04-17T00:00:00.000Z,2013-04-20T00:00:00.000Z,,0,48,309,99309,McLennan (County),13025,,2023-05-22T03:41:22.800Z,24f7375e1c6b3dbf156cb3cf02ec173485504439,c27a6d89-e58c-4e44-bb7a-0ccb395b3f18,2013,31.5524976,-97.20199931
EM-3582-MS,3582,MS,EM,2022-08-30T00:00:00.000Z,2022,Other,WATER CRISIS,0,0,1,0,2022-08-30T00:00:00.000Z,,,0,28,49,99049,Hinds (County),22075,,2023-05-22T03:41:22.800Z,4f76b8a220f14349ae1683f284acb7b5820888a2,f3d3560d-8a29-497f-be62-d79882b60d63,2022,32.26628404,-90.44251629
EM-3581-VI,3581,VI,EM,2022-07-25T00:00:00.000Z,2022,Other,WATER SHORTAGE AND HEALTH IMPACT FROM UNPRECEDENTED SARGASSUM SEAGRASS INFLUX,0,0,1,0,2022-07-15T00:00:00.000Z,2022-10-13T00:00:00.000Z,,0,78,10,99010,St. Croix (Island) (County-equivalent),22063,,2023-05-22T03:41:22.800Z,fd15e53e277b41aabd29bfb90fe6bd2d86f30918,9ad51f4d-5f85-4b68-9031-391f656984c7,2022,17.7334672,-64.76357572
EM-3560-FL,3560,FL,EM,2021-06-25T00:00:00.000Z,2021,Other,SURFSIDE BUILDING COLLAPSE,1,0,1,0,2021-06-24T00:00:00.000Z,2021-07-04T00:00:00.000Z,,0,12,86,99086,Miami-Dade (County),21046,2021-08-24T00:00:00.000Z,2023-05-22T03:41:22.800Z,b494a12f4687e1f6e5e61a4fe90e9ba6a0e5fe40,b8824676-c923-4bbd-8435-3f2466e8e7a7,2021,25.61511557,-80.55914415
EM-3552-TN,3552,TN,EM,2021-01-05T00:00:00.000Z,2021,Other,EXPLOSION,0,0,1,0,2020-12-25T00:00:00.000Z,2020-12-25T00:00:00.000Z,2021-06-30T00:00:00.000Z,0,47,37,99037,Davidson (County),20327,,2023-05-22T03:41:22.800Z,d2d83b5b179e8f5e841a7e9eed2943c4bf515b6d,e2612da8-f6af-43ce-ba29-cad391cebc6a,2021,36.16932462,-86.78502875
EM-3363-TX,3363,TX,EM,2013-04-19T00:00:00.000Z,2013,Other,EXPLOSION,1,0,1,0,2013-04-17T00:00:00.000Z,2013-04-20T00:00:00.000Z,2015-10-28T00:00:00.000Z,0,48,309,99309,McLennan (County),13015,2013-06-18T00:00:00.000Z,2023-05-22T03:41:22.800Z,e358273c07044855ea3ecc826efb6e9fcf7b2828,cc03e471-ba8e-4efc-a227-cfbac9298981,2013,31.5524976,-97.20199931
EM-3312-MA,3312,MA,EM,2010-05-03T00:00:00.000Z,2010,Other,WATER MAIN BREAK,0,0,1,0,2010-05-01T00:00:00.000Z,2010-05-05T00:00:00.000Z,2012-11-06T00:00:00.000Z,0,25,9,99009,"Essex (County)(in PMSA 1120,4160,7090)",10052,,2023-05-22T03:41:22.800Z,0a22c14acdfa031888f98713329c18886b406d85,c091b998-ceec-4299-9f89-23a5e39b8a83,2010,42.67174524,-70.9515844
EM-3312-MA,3312,MA,EM,2010-05-03T00:00:00.000Z,2010,Other,WATER MAIN BREAK,0,0,1,0,2010-05-01T00:00:00.000Z,2010-05-05T00:00:00.000Z,2012-11-06T00:00:00.000Z,0,25,17,99017,"Middlesex (County)(in (P)MSA 1120,2600,4560)",10052,,2023-05-22T03:41:22.800Z,fe1a468869f4bff9ff69780ec691a7809f7a5f6e,5f8c33ea-a0bf-4297-b9b2-9d7577fa7e7b,2010,42.48584344,-71.39262102
EM-3312-MA,3312,MA,EM,2010-05-03T00:00:00.000Z,2010,Other,WATER MAIN BREAK,0,0,1,0,2010-05-01T00:00:00.000Z,2010-05-05T00:00:00.000Z,2012-11-06T00:00:00.000Z,0,25,21,99021,"Norfolk (County)(in PMSA 1120,1200,6060)",10052,,2023-05-22T03:41:22.800Z,17b2fc3d20a2fb1d40a06214b2fef6fe6a9fe843,0330128a-fed9-47cf-a8ec-edeeb9455f8c,2010,42.1624614,-71.20690516
EM-3312-MA,3312,MA,EM,2010-05-03T00:00:00.000Z,2010,Other,WATER MAIN BREAK,0,0,1,0,2010-05-01T00:00:00.000Z,2010-05-05T00:00:00.000Z,2012-11-06T00:00:00.000Z,0,25,25,99025,Suffolk (County),10052,,2023-05-22T03:41:22.800Z,96c4a2c847cbb8c34aa1498fccdc94bcf2e87519,73264a97-d705-49d5-85d9-ce1a1beaec75,2010,42.33340065,-71.07033478
EM-3300-DC,3300,DC,EM,2009-01-13T00:00:00.000Z,2009,Other,56TH PRESIDENTIAL INAUGURATION,0,0,1,0,2009-01-17T00:00:00.000Z,2009-01-21T00:00:00.000Z,2012-01-30T00:00:00.000Z,0,11,1,99001,District of Columbia (County-equivalent),9005,,2023-05-22T03:41:22.800Z,c2284b11a9ce4a3fc9cc7ebe43162c1b2f320933,7237fcaf-cb94-47fc-8ca0-595198802e08,2009,38.90478149,-77.01629654
EM-3278-MN,3278,MN,EM,2007-08-21T00:00:00.000Z,2007,Other,BRIDGE COLLAPSE,0,0,1,0,2007-08-01T00:00:00.000Z,2007-08-15T00:00:00.000Z,2012-03-14T00:00:00.000Z,0,27,53,99053,Hennepin (County),7890,,2023-05-22T03:41:22.800Z,7f5b611b66eabee6d27356080b0c700e66da78c9,eb7d2b7e-6b1b-4163-a49f-e4360fa331e4,2007,45.00479678,-93.47715121
EM-3189-MI,3189,MI,EM,2003-09-23T00:00:00.000Z,2003,Other,POWER OUTAGE,0,0,1,0,2003-08-14T00:00:00.000Z,2003-08-17T00:00:00.000Z,2008-05-20T00:00:00.000Z,0,26,25,99025,Calhoun (County),3103,,2023-05-22T03:41:22.800Z,2be993b2d245602a9f1165600ae6f4c929a070c0,757b07b3-4292-4421-9057-cfce26a2c9bc,2003,42.24636617,-85.00508394
EM-3189-MI,3189,MI,EM,2003-09-23T00:00:00.000Z,2003,Other,POWER OUTAGE,0,0,1,0,2003-08-14T00:00:00.000Z,2003-08-17T00:00:00.000Z,2008-05-20T00:00:00.000Z,0,26,45,99045,Eaton (County),3103,,2023-05-22T03:41:22.800Z,8598a815f2395de724c22408e533d51dde73c38a,a2607188-2027-4038-9aee-ee21004f3dfd,2003,42.59599185,-84.83740035
