femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4706-OK,4706,OK,DR,2023-04-24T00:00:00.000Z,2023,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,0,1,2023-04-19T00:00:00.000Z,2023-04-20T00:00:00.000Z,,0,40,27,99027,Cleveland (County),23044,2023-06-23T00:00:00.000Z,2023-05-22T03:41:22.800Z,a2b96bd89ea440c5fa2961babf06511a8fa43e63,4a7e77b6-d5ab-4094-99a8-79172066f9a4,2023,35.20346872,-97.3267069
DR-4706-OK,4706,OK,DR,2023-04-24T00:00:00.000Z,2023,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2023-04-19T00:00:00.000Z,2023-04-20T00:00:00.000Z,,0,40,87,99087,McClain (County),23044,2023-06-23T00:00:00.000Z,2023-05-22T03:41:22.800Z,45fd8632371d22b3bdd57496043fa7b8e92c9368,0a01ff9c-a228-4ff7-b950-979735dba876,2023,35.00888538,-97.44298086
DR-4706-OK,4706,OK,DR,2023-04-24T00:00:00.000Z,2023,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2023-04-19T00:00:00.000Z,2023-04-20T00:00:00.000Z,,0,40,125,99125,Pottawatomie (County),23044,2023-06-23T00:00:00.000Z,2023-05-22T03:41:22.800Z,d0a2570a6d504ae4297ab23a07710af5a65f6d51,93cb7460-c67b-4c71-9fa0-60541bae64a6,2023,35.20684527,-96.94828061
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,39,99039,Decatur (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,3804065dcfd26fa0a8e0cb808d1bf8a1ea04fbc7,1b7ae183-1726-44b7-bafb-1c95b3dce221,2022,35.60350601,-88.10830091
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,45,99045,Dyer (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,c6856f8aba8c932c99a1c8e4f7aba07794d31f6a,30008315-849b-4143-b322-148b1d9039db,2022,36.05918296,-89.4139363
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,0,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,189,99189,Wilson (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,ecf4bfd84a2bd766201747780c8cb1abd1a24eaf,e9cac1c7-ea91-4e4c-9a4b-78c52a155e8b,2022,36.15428192,-86.29778739
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,21,99021,Cheatham (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,8dcb56a049c87f903ed80d250da998243b641664,e26f523f-ed75-495e-a7f0-9280233cff54,2022,36.26140435,-87.08648326
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,37,99037,Davidson (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,4f39aaa47373499d62f7e3f62bca15de2e80821f,dcc15fa1-60ec-4b72-93d6-dfc6f2380424,2022,36.16932462,-86.78502875
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,43,99043,Dickson (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,a4ccc98516845693a482d21a714bf5cf5b22fc3e,2e1c805f-27e4-48f9-a157-aa858b6f1737,2022,36.14932156,-87.35658415
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,53,99053,Gibson (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,fb43dad30c2752003d581b041b4836b9665c65b6,393a8924-e444-407f-b574-05e889234b86,2022,35.99666265,-88.93264081
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,77,99077,Henderson (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,1ac9f9f567bdc4c0ded407da1f3da402306486f0,7215930c-2069-4ff0-9908-8638a754d852,2022,35.65381663,-88.38771258
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,79,99079,Henry (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,19ae85df98c1d3de32f7854127e9a7b395a81c5b,1e093add-2fbe-4521-be7d-f7f16f123b4b,2022,36.33178059,-88.30116646
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,95,99095,Lake (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,44eacbeabee7ad3641d695052491c6fdf9e56bfd,ef361c40-ddbe-4488-858e-6c28f4488aa5,2022,36.33529914,-89.49340328
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,131,99131,Obion (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,7accd796b6c9eabc5d7876206bb0e05e261f0200,1c6a03c9-8b60-4d97-b9be-c98c20fd23e0,2022,36.35824874,-89.1487146
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,161,99161,Stewart (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,7e42eeaa05a6ebfbfa080d78713f9386429d8293,6d739d71-9fdd-4fc9-96d6-cf7e6a4a0915,2022,36.50150068,-87.83755715
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,165,99165,Sumner (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,22503a094f76e53f6e2ef28fbb5e180ce3bbc53b,f472e564-eb84-41fb-9f90-31c69c0e0d19,2022,36.46938867,-86.46074089
DR-4637-TN,4637,TN,DR,2022-01-14T00:00:00.000Z,2022,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,1,1,2021-12-10T00:00:00.000Z,2021-12-11T00:00:00.000Z,,0,47,183,99183,Weakley (County),21130,2022-03-15T00:00:00.000Z,2023-05-22T03:41:22.800Z,28d06a865db5f833240bce2abd8061b8b845d472,066deb1f-1279-4b59-a0a3-3f96fc040983,2022,36.29822836,-88.71817942
