femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4433-GU,4433,GU,DR,2019-05-07T00:00:00.000Z,2019,Typhoon,TYPHOON WUTIP,0,0,1,1,2019-02-23T00:00:00.000Z,2019-02-25T00:00:00.000Z,,0,66,10,99010,Guam (County-equivalent),19021,,2023-05-22T03:41:22.800Z,81e447414dbf2358ef9e8b8cf2e21891b4f5dde8,74bb7cc8-40d9-451a-9655-443c730a7d72,2019,13.44160435,144.7724429
DR-4404-MP,4404,MP,DR,2018-10-26T00:00:00.000Z,2019,Typhoon,SUPER TYPHOON YUTU,1,0,1,1,2018-10-24T00:00:00.000Z,2018-10-26T00:00:00.000Z,,0,69,85,99085,Northern Islands (Municipality),18119,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,bcae180fca8c93988db9a6c7506991cf75603cc4,9288eb19-8da5-4150-b9b4-db3cfe7529e5,2018,17.86407261,145.706722
DR-4404-MP,4404,MP,DR,2018-10-26T00:00:00.000Z,2019,Typhoon,SUPER TYPHOON YUTU,1,0,1,1,2018-10-24T00:00:00.000Z,2018-10-26T00:00:00.000Z,,0,69,100,99100,Rota (Municipality),18119,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,49ce2a6c5da65679f6024be1755c7fe132666730,db0c4f48-84e2-4b8b-9f25-0f0d77f66df8,2018,14.15511852,145.2094218
DR-4404-MP,4404,MP,DR,2018-10-26T00:00:00.000Z,2019,Typhoon,SUPER TYPHOON YUTU,1,0,1,1,2018-10-24T00:00:00.000Z,2018-10-26T00:00:00.000Z,,0,69,110,99110,Saipan (Municipality),18119,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,f0ce9947bac907559bb2e8bdcce4f152f79b7df2,8c51f72b-deda-45f0-b6ca-7da9b9083356,2018,15.18953726,145.7509098
DR-4404-MP,4404,MP,DR,2018-10-26T00:00:00.000Z,2019,Typhoon,SUPER TYPHOON YUTU,1,0,1,1,2018-10-24T00:00:00.000Z,2018-10-26T00:00:00.000Z,,0,69,120,99120,Tinian (Municipality),18119,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,1ff64a50be1f03a200b94d7167498b2f0b07a172,0c4e1707-b431-447f-8952-3658ca28949d,2018,15.00074124,145.6261608
DR-4398-GU,4398,GU,DR,2018-10-01T00:00:00.000Z,2019,Typhoon,TYPHOON MANGKHUT,0,0,1,1,2018-09-10T00:00:00.000Z,2018-09-11T00:00:00.000Z,,0,66,10,99010,Guam (County-equivalent),18107,,2023-05-22T03:41:22.800Z,0ea9347614c39d956bf22b3102cad827821a6ee2,b551e093-5593-4c11-a3a1-8ec4c3c915ec,2018,13.44160435,144.7724429
DR-4396-MP,4396,MP,DR,2018-09-29T00:00:00.000Z,2018,Typhoon,TYPHOON MANGKHUT,1,0,1,1,2018-09-10T00:00:00.000Z,2018-09-11T00:00:00.000Z,,0,69,100,99100,Rota (Municipality),18106,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,03210dbbedaa932554d648a03f7de2d05fde6a9f,94c848ce-4e8d-4fe4-bed7-2fe4a098e1a2,2018,14.15511852,145.2094218
DR-4396-MP,4396,MP,DR,2018-09-29T00:00:00.000Z,2018,Typhoon,TYPHOON MANGKHUT,1,0,1,1,2018-09-10T00:00:00.000Z,2018-09-11T00:00:00.000Z,,0,69,110,99110,Saipan (Municipality),18106,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,2cf730d41437d2ad5e3d97ce6371e2018cbce6ae,8c9bc375-cd97-4897-bc13-d6917b8c5612,2018,15.18953726,145.7509098
DR-4396-MP,4396,MP,DR,2018-09-29T00:00:00.000Z,2018,Typhoon,TYPHOON MANGKHUT,1,0,1,1,2018-09-10T00:00:00.000Z,2018-09-11T00:00:00.000Z,,0,69,120,99120,Tinian (Municipality),18106,2019-01-27T00:00:00.000Z,2023-05-22T03:41:22.800Z,b690284ebcc4f9728c4b34f3ca39e790a285631c,3b3c648f-dc06-4632-a5e8-38f0e64134f9,2018,15.00074124,145.6261608
DR-4235-MP,4235,MP,DR,2015-08-05T00:00:00.000Z,2015,Typhoon,TYPHOON SOUDELOR,0,0,1,1,2015-08-01T00:00:00.000Z,2015-08-03T00:00:00.000Z,,0,69,100,99100,Rota (Municipality),15050,2015-10-05T00:00:00.000Z,2023-05-22T03:41:22.800Z,c74013c87d6a69d3ad4a60fb3384d2ef6b55bb65,1cee94ed-b038-45c3-b5a4-35249a8b0b95,2015,14.15511852,145.2094218
DR-4235-MP,4235,MP,DR,2015-08-05T00:00:00.000Z,2015,Typhoon,TYPHOON SOUDELOR,0,0,1,1,2015-08-01T00:00:00.000Z,2015-08-03T00:00:00.000Z,,0,69,120,99120,Tinian (Municipality),15050,2015-10-05T00:00:00.000Z,2023-05-22T03:41:22.800Z,ccba0a19f37085b88bc1283c0dcc1eee93075a5e,b19be7e5-ec28-46a4-85f8-d0dcb9b9bf43,2015,15.00074124,145.6261608
DR-4235-MP,4235,MP,DR,2015-08-05T00:00:00.000Z,2015,Typhoon,TYPHOON SOUDELOR,1,0,1,1,2015-08-01T00:00:00.000Z,2015-08-03T00:00:00.000Z,,0,69,110,99110,Saipan (Municipality),15050,2015-10-05T00:00:00.000Z,2023-05-22T03:41:22.800Z,7a988ad4595d3fc72e67324c837b1f5e92f4a112,2f767a11-fbe8-404f-8d39-ea2247bd2ab3,2015,15.18953726,145.7509098
DR-4224-GU,4224,GU,DR,2015-06-05T00:00:00.000Z,2015,Typhoon,TYPHOON DOLPHIN,0,0,1,1,2015-05-13T00:00:00.000Z,2015-05-16T00:00:00.000Z,,0,66,10,99010,Guam (County-equivalent),15022,,2023-05-22T03:41:22.800Z,845feb5fd29ab8d472983ad7123bcb9fd34d4b26,166a9f95-e5f3-46ec-8796-408bd2257d07,2015,13.44160435,144.7724429
EM-3425-MP,3425,MP,EM,2019-10-20T00:00:00.000Z,2020,Typhoon,TYPHOON BUALOI,0,0,1,0,2019-10-20T00:00:00.000Z,2019-10-23T00:00:00.000Z,,0,69,85,99085,Northern Islands (Municipality),19087,,2023-05-22T03:41:22.800Z,161e9664b9d1f051dc0dfae12c3e107cb5bed90f,be31113e-7c90-436f-b027-f28fd9987da8,2019,17.86407261,145.706722
EM-3425-MP,3425,MP,EM,2019-10-20T00:00:00.000Z,2020,Typhoon,TYPHOON BUALOI,0,0,1,0,2019-10-20T00:00:00.000Z,2019-10-23T00:00:00.000Z,,0,69,100,99100,Rota (Municipality),19087,,2023-05-22T03:41:22.800Z,753e3bfd7b85627443eb226a7f73791cd2ece16a,ceba2867-41d5-4cea-bdfb-63f50ff1ff14,2019,14.15511852,145.2094218
EM-3425-MP,3425,MP,EM,2019-10-20T00:00:00.000Z,2020,Typhoon,TYPHOON BUALOI,0,0,1,0,2019-10-20T00:00:00.000Z,2019-10-23T00:00:00.000Z,,0,69,110,99110,Saipan (Municipality),19087,,2023-05-22T03:41:22.800Z,ba3d3028039c95933a3140a348f7bcf9311c4216,def14e31-2e5d-4dcf-a9ce-71adbed46a65,2019,15.18953726,145.7509098
EM-3425-MP,3425,MP,EM,2019-10-20T00:00:00.000Z,2020,Typhoon,TYPHOON BUALOI,0,0,1,0,2019-10-20T00:00:00.000Z,2019-10-23T00:00:00.000Z,,0,69,120,99120,Tinian (Municipality),19087,,2023-05-22T03:41:22.800Z,fe9f25d8e1821461ef056f972ef92fefa3ef1ec5,1e69c083-e8d1-451b-a2ca-4daab9bbae69,2019,15.00074124,145.6261608
EM-3424-MP,3424,MP,EM,2019-10-07T00:00:00.000Z,2020,Typhoon,TYPHOON HAGIBIS,0,0,1,0,2019-10-07T00:00:00.000Z,2019-10-09T00:00:00.000Z,,0,69,85,99085,Northern Islands (Municipality),19084,,2023-05-22T03:41:22.800Z,c018f52a15813c44c6d5db4d89258c4568dfdbc2,06c279ae-9fe5-4e2f-93fa-cbbb450c9c78,2019,17.86407261,145.706722
EM-3424-MP,3424,MP,EM,2019-10-07T00:00:00.000Z,2020,Typhoon,TYPHOON HAGIBIS,0,0,1,0,2019-10-07T00:00:00.000Z,2019-10-09T00:00:00.000Z,,0,69,100,99100,Rota (Municipality),19084,,2023-05-22T03:41:22.800Z,132e41801fd2c05fc614100e6c993e6cbe0e84d6,c340f523-4bd6-448f-9306-0db2cd1e0ffa,2019,14.15511852,145.2094218
EM-3424-MP,3424,MP,EM,2019-10-07T00:00:00.000Z,2020,Typhoon,TYPHOON HAGIBIS,0,0,1,0,2019-10-07T00:00:00.000Z,2019-10-09T00:00:00.000Z,,0,69,110,99110,Saipan (Municipality),19084,,2023-05-22T03:41:22.800Z,43d8bfb281f21834da78e7a8a263b20167589ed6,dcc62aae-4abe-49b7-b6b9-490d44863cd4,2019,15.18953726,145.7509098
EM-3424-MP,3424,MP,EM,2019-10-07T00:00:00.000Z,2020,Typhoon,TYPHOON HAGIBIS,0,0,1,0,2019-10-07T00:00:00.000Z,2019-10-09T00:00:00.000Z,,0,69,120,99120,Tinian (Municipality),19084,,2023-05-22T03:41:22.800Z,43ab07c1ba2f9925371d4ca21d035065ec687a1b,698dc966-8dc7-4bf1-9d6d-824c75e1fff7,2019,15.00074124,145.6261608
EM-3408-MP,3408,MP,EM,2018-10-23T00:00:00.000Z,2019,Typhoon,TYPHOON YUTU,0,0,1,0,2018-10-24T00:00:00.000Z,2018-10-26T00:00:00.000Z,,0,69,85,99085,Northern Islands (Municipality),18118,,2023-05-22T03:41:22.800Z,4af716a94006d354f0986756cd04aa161f651f13,59b30cff-ee83-4d2d-b079-335c9d376698,2018,17.86407261,145.706722
