femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
FM-2465-CA,2465,CA,FM,2002-09-25T00:00:00.000Z,2002,Fire,CROY FIRE,0,0,1,0,2002-09-23T00:00:00.000Z,2002-10-05T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,85,99085,Santa Clara (County),2135,,2023-05-22T03:41:22.800Z,0c7cea38f438b6f1f3e2e3e3b33b5fe5a4a29104,18612cca-bbfd-43a6-b0c1-8aa57c9ed166,2002,37.23169965,-121.6951016
FM-2465-CA,2465,CA,FM,2002-09-25T00:00:00.000Z,2002,Fire,CROY FIRE,0,0,1,0,2002-09-23T00:00:00.000Z,2002-10-05T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,87,99087,Santa Cruz (County),2135,,2023-05-22T03:41:22.800Z,64fe260a328a65e36defaa39b99fb00cab49e729,34de37f7-308b-4f08-86b9-d83142a365f6,2002,37.0561908,-122.0017742
FM-2464-CA,2464,CA,FM,2002-09-24T00:00:00.000Z,2002,Fire,WILLIAMS FIRE,0,0,1,0,2002-09-22T00:00:00.000Z,2002-09-29T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,37,99037,Los Angeles (County),2134,,2023-05-22T03:41:22.800Z,cf11b26119a1680568962c0284af08bb3ac9b0aa,e0532529-f333-4fb2-a8b5-45e0ccffed91,2002,34.32134579,-118.224703
FM-2464-CA,2464,CA,FM,2002-09-24T00:00:00.000Z,2002,Fire,WILLIAMS FIRE,0,0,1,0,2002-09-22T00:00:00.000Z,2002-09-29T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,71,99071,San Bernardino (County),2134,,2023-05-22T03:41:22.800Z,76f0fed9f639536c89424d857edbb0bdfb4fbb58,73518911-eafd-48a8-823a-f9c3959ca599,2002,34.84157876,-116.1783784
FM-2463-CA,2463,CA,FM,2002-09-19T00:00:00.000Z,2002,Fire,SIERRA FIRE,0,0,1,0,2002-09-18T00:00:00.000Z,2002-09-22T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,61,99061,Placer (County),2131,,2023-05-22T03:41:22.800Z,fa6fe96dcde8073ea29f1736aafe53b7519c97ba,88c6081d-c97a-4234-8c33-9b298be21890,2002,39.06347097,-120.717846
FM-2462-CA,2462,CA,FM,2002-09-04T00:00:00.000Z,2002,Fire,LEONA FIRE,0,0,1,0,2002-09-03T00:00:00.000Z,2002-09-12T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,37,99037,Los Angeles (County),2128,,2023-05-22T03:41:22.800Z,3f89bea5eb2be3506868492908e82fbe209a15f3,0845f36d-bb07-410c-8d4a-2aa882bf4d4e,2002,34.32134579,-118.224703
FM-2461-CA,2461,CA,FM,2002-09-04T00:00:00.000Z,2002,Fire,SQUIRREL FIRE,0,0,1,0,2002-09-03T00:00:00.000Z,2002-09-10T00:00:00.000Z,2007-04-03T00:00:00.000Z,0,6,89,99089,Shasta (County),2127,,2023-05-22T03:41:22.800Z,d5ef9271c89e203c45b8fbbe9ea24f5487c1b29a,ef124d9c-11a7-496b-bd3e-1586d5c6929e,2002,40.76391106,-122.0409443
FM-2460-WY,2460,WY,FM,2002-08-31T00:00:00.000Z,2002,Fire,WY - COMMISSARY RIDGE FIRE - 08/31/02,0,0,1,0,2002-08-29T00:00:00.000Z,2002-09-15T00:00:00.000Z,2005-09-30T00:00:00.000Z,0,56,23,99023,Lincoln (County),2126,,2023-05-22T03:41:22.800Z,3646b09de1bd418ff48ad78a428d9963e8699377,e3fd0895-a0ba-433c-90e5-ebe3fe767b33,2002,42.26409375,-110.656067
FM-2459-NM,2459,NM,FM,2002-08-26T00:00:00.000Z,2002,Fire,NM - LAKES FIRE COMPLEX - 08/26/02,0,0,1,0,2002-08-26T00:00:00.000Z,2002-09-11T00:00:00.000Z,2005-01-11T00:00:00.000Z,0,35,43,99043,Sandoval (County),2123,,2023-05-22T03:41:22.800Z,e1d9bb55c0271988f28d28ca058e2bcd98bc73e2,d09daf2f-5318-426d-92e1-0ecf8de34d50,2002,35.68909544,-106.8658272
FM-2458-SD,2458,SD,FM,2002-08-18T00:00:00.000Z,2002,Fire,SD - BATTLE CREEK FIRE - 08/18/02,0,0,1,0,2002-08-16T00:00:00.000Z,2002-08-29T00:00:00.000Z,2005-12-21T00:00:00.000Z,0,46,33,99033,Custer (County),2120,,2023-05-22T03:41:22.800Z,ecf174a4577674d5dbd35827418351909cb0cfd3,4ffaba27-ab75-4171-964d-23cc8d822c49,2002,43.67736837,-103.4514908
