"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","tribalRequest","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","lastIAFilingDate","lastRefresh","hash","id","latitude","longitude","declarationYear","declarationMonth"
"FM-5389-AZ",5389,"AZ","FM","2021-06-06T00:00:00.000Z",2021,"Fire","TELEGRAPH FIRE",0,0,1,1,"2021-06-06T00:00:00.000Z","","2023-09-29T00:00:00.000Z",0,4,7,99007,"Gila (County)",21041,"","2023-09-29T21:02:14.142Z","14b4a2c314124cae33e8ec790782a12c2af10a4c","226d44a3-418a-4102-9a55-385ea6599b2a",33.6370567,-110.5215459,2021,6
"FM-5389-AZ",5389,"AZ","FM","2021-06-06T00:00:00.000Z",2021,"Fire","TELEGRAPH FIRE",0,0,1,1,"2021-06-06T00:00:00.000Z","","2023-09-29T00:00:00.000Z",0,4,21,99021,"Pinal (County)",21041,"","2023-09-29T21:02:14.142Z","971d2204fdd213515f78a8575ca6fb14e66ca6fb","7304770a-6040-4bb2-b515-a50ffccefa40",32.8162061,-111.2845025,2021,6
"FM-5464-RI",5464,"RI","FM","2023-04-14T00:00:00.000Z",2023,"Fire","QUEENS RIVER FIRE",0,0,1,1,"2023-04-14T00:00:00.000Z","2023-04-16T00:00:00.000Z","",0,44,9,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,"","2023-05-22T03:41:22.800Z","1111d4d4a33f8a6e4d383ac5bd0e60b9bf142da0","9b9a9d9c-8b03-4049-9b16-a3c0d581556c",41.5800945,-71.4774291,2023,4
"FM-5463-KS",5463,"KS","FM","2023-04-13T00:00:00.000Z",2023,"Fire","HADDAM FIRE",0,0,1,1,"2023-04-13T00:00:00.000Z","2023-04-16T00:00:00.000Z","",0,20,201,99201,"Washington (County)",23038,"","2023-05-22T03:41:22.800Z","78dd55a181f146622eb65835b5d794689d1ea7f2","57d936ce-a0d7-412a-9d78-18aee530c146",39.8180592,-97.0508605,2023,4
"FM-5462-NE",5462,"NE","FM","2023-04-09T00:00:00.000Z",2023,"Fire","WACONDA-BEAVER LAKE FIRE COMPLEX",0,0,1,1,"2023-04-08T00:00:00.000Z","","",0,31,25,99025,"Cass (County)",23036,"","2023-05-22T03:41:22.800Z","5b35b5912f606a21ff29194317052ac7c2541be8","69325b2c-77cf-493f-8f1a-d5b5a737edf8",40.8755529,-96.1526985,2023,4
"DR-4731-CO",4731,"CO","DR","2023-08-25T00:00:00.000Z",2023,"Flood","SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,"2023-06-08T00:00:00.000Z","2023-06-23T00:00:00.000Z","",0,8,9,99009,"Baca (County)",23081,"","2023-10-02T19:21:20.859Z","44d903d3d79b5295f58aefdd35682a8d3011644d","fe1befa2-d7ac-4400-b430-36bf30ac9a15",37.394731,-102.5298028,2023,8
"FM-5460-OK",5460,"OK","FM","2023-03-31T00:00:00.000Z",2023,"Fire","GAP ROAD FIRE, OKLAHOMA FMAG",0,0,1,1,"2023-03-31T00:00:00.000Z","","",0,40,147,99147,"Washington (County)",23032,"","2023-05-22T03:41:22.800Z","b6fb3aa2f006c373cfbd6dd34e3a628593b95098","94f3b844-0e8f-4fdd-8375-9329e1af512a",36.6770984,-95.940971,2023,3
"FM-5459-OK",5459,"OK","FM","2023-03-31T00:00:00.000Z",2023,"Fire","HEFNER FIRE, OKLAHOMA FMAG",0,0,1,1,"2023-03-31T00:00:00.000Z","","",0,40,109,99109,"Oklahoma (County)",23033,"","2023-05-22T03:41:22.800Z","c1258cf7b0b3df4e5b182f7325d8f377f8fb8fbd","e1c295fc-08e3-4776-9fbf-217f4928b38b",35.7249826,-97.257621,2023,3
"FM-5458-OK",5458,"OK","FM","2023-03-31T00:00:00.000Z",2023,"Fire","SIMPSON FIRE, OKLAHOMA FMAG ",0,0,1,1,"2023-03-31T00:00:00.000Z","","",0,40,83,99083,"Logan (County)",23031,"","2023-05-22T03:41:22.800Z","946226318bef541b8dc1830e8399da89b8f9fdfc","4469a003-2c67-47f3-9673-ceb101ad7e10",35.9404623,-97.5247243,2023,3
"DR-4731-CO",4731,"CO","DR","2023-08-25T00:00:00.000Z",2023,"Flood","SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,"2023-06-08T00:00:00.000Z","2023-06-23T00:00:00.000Z","",0,8,61,99061,"Kiowa (County)",23081,"","2023-10-02T19:21:20.859Z","ecfd4777766336e18a46d1eb231fc25922f8b014","880f5941-94fb-4c00-afb8-2f1e32fe1b5b",38.3769671,-102.7135121,2023,8
"FM-5456-WA",5456,"WA","FM","2022-10-17T00:00:00.000Z",2023,"Fire","NAKIA CREEK FIRE",0,0,1,1,"2022-10-09T00:00:00.000Z","","",0,53,11,99011,"Clark (County)",22097,"","2023-05-22T03:41:22.800Z","534b816369fd5acd551a1ca41a2c18a8ae55af31","4bd093a2-ebcf-48d0-b05a-bb7e77e28546",45.7466471,-122.5194378,2022,10
"FM-5456-WA",5456,"WA","FM","2022-10-17T00:00:00.000Z",2023,"Fire","NAKIA CREEK FIRE",0,0,1,1,"2022-10-09T00:00:00.000Z","","",0,53,59,99059,"Skamania (County)",22097,"","2023-05-22T03:41:22.800Z","94bc5699cf5392cfcd9bd07d5bc4615165981907","0057f917-4982-456e-8a69-ffeef1810b09",45.9428524,-121.8962257,2022,10
"FM-5455-WA",5455,"WA","FM","2022-09-10T00:00:00.000Z",2022,"Fire","BOLT CREEK FIRE",0,0,1,1,"2022-09-10T00:00:00.000Z","","",0,53,33,99033,"King (County)",22083,"","2023-05-22T03:41:22.800Z","4433554505599c3eb2091140c88bbc526ee419a4","4a2bdfa4-c58c-411a-8cfe-314434a8efe4",47.5480339,-121.9836029,2022,9
"FM-5455-WA",5455,"WA","FM","2022-09-10T00:00:00.000Z",2022,"Fire","BOLT CREEK FIRE",0,0,1,1,"2022-09-10T00:00:00.000Z","","",0,53,61,99061,"Snohomish (County)",22083,"","2023-05-22T03:41:22.800Z","20e3a45f98ce704c2608dc73cbaaf92e467ec3c2","d1fa7663-77d4-4f50-a871-8f680dfe2278",48.0329979,-121.8339472,2022,9
"FM-5454-OR",5454,"OR","FM","2022-09-10T00:00:00.000Z",2022,"Fire","MILO MCIVER FIRE",0,0,1,1,"2022-09-10T00:00:00.000Z","","",0,41,5,99005,"Clackamas (County)",22082,"","2023-05-22T03:41:22.800Z","e6a22014b7992309eb79d7fce282decfa0704ba9","c4850ea2-3ff2-4de1-8124-686a9636f147",45.2023855,-122.1188945,2022,9
"DR-4731-CO",4731,"CO","DR","2023-08-25T00:00:00.000Z",2023,"Flood","SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,"2023-06-08T00:00:00.000Z","2023-06-23T00:00:00.000Z","",0,8,99,99099,"Prowers (County)",23081,"","2023-10-02T19:21:20.859Z","90ab966409613986143ee242870748e8d19aa525","875a66ca-6234-423a-9e92-3626484e11d6",37.8433756,-102.2547919,2023,8
"DR-4731-CO",4731,"CO","DR","2023-08-25T00:00:00.000Z",2023,"Flood","SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,"2023-06-08T00:00:00.000Z","2023-06-23T00:00:00.000Z","",0,8,119,99119,"Teller (County)",23081,"","2023-10-02T19:21:20.859Z","f5c24bf0051b6c9079aedee03c1770ffde5fabb0","a2da5a28-1e9e-4364-9f8d-4dd1cded0d15",38.8611579,-105.1726816,2023,8
"FM-5452-ID",5452,"ID","FM","2022-09-05T00:00:00.000Z",2022,"Fire","ROSS FORK FIRE",0,0,1,1,"2022-09-05T00:00:00.000Z","","",0,16,13,99013,"Blaine (County)",22078,"","2023-05-22T03:41:22.800Z","989315a69d75fc168022d090368def59aee300f3","7efda5df-b5cf-47e5-9739-9336596c84a7",43.4743428,-113.9664446,2022,9
"DR-4734-FL",4734,"FL","DR","2023-08-31T00:00:00.000Z",2023,"Hurricane","HURRICANE IDALIA",1,0,1,1,"2023-08-27T00:00:00.000Z","2023-09-04T00:00:00.000Z","",0,12,15,99015,"Charlotte (County)",23113,"2023-10-30T00:00:00.000Z","2023-10-02T22:21:24.962Z","e4a4db8ff1992d9636b5dde2174dbcddb2ef96d2","2c93dac7-0e6c-4073-92fe-f9d48c38007c",26.8946009,-81.909826,2023,8
"DR-4738-GA",4738,"GA","DR","2023-09-07T00:00:00.000Z",2023,"Hurricane","HURRICANE IDALIA",0,0,1,1,"2023-08-30T00:00:00.000Z","2023-08-30T00:00:00.000Z","",0,13,33,99033,"Burke (County)",23119,"2023-11-06T00:00:00.000Z","2023-10-02T22:41:17.241Z","46401e80e0042efbd6a9173f07176e0305abd60c","f5f177c0-524a-4f4a-998c-549c0ad8a3c0",33.088805,-81.9534815,2023,9
"FM-5449-ID",5449,"ID","FM","2022-08-19T00:00:00.000Z",2022,"Fire","FOUR CORNERS FIRE",0,0,1,1,"2022-08-18T00:00:00.000Z","","",0,16,3,99003,"Adams (County)",22072,"","2023-05-22T03:41:22.800Z","7746dc17b9329c05d0e45bfd2e85fd74db7b8794","06a1a18f-bbb9-4002-8527-3e41b1fcd667",44.9882561,-116.4916091,2022,8
"FM-5449-ID",5449,"ID","FM","2022-08-19T00:00:00.000Z",2022,"Fire","FOUR CORNERS FIRE",0,0,1,1,"2022-08-18T00:00:00.000Z","","",0,16,45,99045,"Gem (County)",22072,"","2023-05-22T03:41:22.800Z","f9aced312511f157b3e4922a193d83de352588dd","fdcbf1c9-51dd-40c8-ae5c-a1607645a19b",44.0324936,-116.3589245,2022,8
"FM-5449-ID",5449,"ID","FM","2022-08-19T00:00:00.000Z",2022,"Fire","FOUR CORNERS FIRE",0,0,1,1,"2022-08-18T00:00:00.000Z","","",0,16,85,99085,"Valley (County)",22072,"","2023-05-22T03:41:22.800Z","8f1d18ecdf123ada3db0e4ab0806ae2eccd13753","5f64c5a8-d918-4a08-ac80-38ea6111d410",44.9204669,-115.7926381,2022,8
"FM-5448-NV",5448,"NV","FM","2022-08-14T00:00:00.000Z",2022,"Fire","JOY LAKE FIRE",0,0,1,1,"2022-08-14T00:00:00.000Z","","",0,32,31,99031,"Washoe (County)",22070,"","2023-05-22T03:41:22.800Z","152843e7fbe0d762d8eaea91b6014b6ead46554c","c20dbe34-1c92-456e-a542-871dfa98f109",40.5608387,-119.6035495,2022,8
"FM-5447-WA",5447,"WA","FM","2022-08-04T00:00:00.000Z",2022,"Fire","LIND FIRE",0,0,1,1,"2022-08-04T00:00:00.000Z","","",0,53,1,99001,"Adams (County)",22068,"","2023-05-22T03:41:22.800Z","8679338df2608ead2ba36b068b8719d5e5a3fa16","7031fde7-b8f3-4025-9abd-6555711e6665",46.9272238,-118.51098,2022,8
"FM-5446-OR",5446,"OR","FM","2022-08-03T00:00:00.000Z",2022,"Fire","MILLER ROAD FIRE",0,0,1,1,"2022-08-02T00:00:00.000Z","","",0,41,65,99065,"Wasco (County)",22066,"","2023-05-22T03:41:22.800Z","a96c383456ba42f77ef4b16458add47cea46641d","b28bde8a-be19-49f8-b77d-292df5c70779",45.0600051,-121.2375121,2022,8
"DR-4738-GA",4738,"GA","DR","2023-09-07T00:00:00.000Z",2023,"Hurricane","HURRICANE IDALIA",0,0,1,1,"2023-08-30T00:00:00.000Z","2023-08-30T00:00:00.000Z","",0,13,209,99209,"Montgomery (County)",23119,"2023-11-06T00:00:00.000Z","2023-10-02T22:41:17.241Z","e08701da7234b5342d903fe7b7036bc347499b18","54aaf9e3-7f64-4cdd-a44f-fa1676892371",32.1802095,-82.5185837,2023,9
"FM-5444-TX",5444,"TX","FM","2022-07-19T00:00:00.000Z",2022,"Fire","CHALK MOUNTAIN FIRE",0,0,1,1,"2022-07-18T00:00:00.000Z","2022-08-06T00:00:00.000Z","",0,48,221,99221,"Hood (County)",22060,"","2023-05-22T03:41:22.800Z","7daf0dad81dc2b01c582786dfa442dc33fb3b76f","57cd8ff3-7ea3-49f6-923c-0c2573fa6582",32.4296296,-97.8286368,2022,7
"FM-5444-TX",5444,"TX","FM","2022-07-19T00:00:00.000Z",2022,"Fire","CHALK MOUNTAIN FIRE",0,0,1,1,"2022-07-18T00:00:00.000Z","2022-08-06T00:00:00.000Z","",0,48,425,99425,"Somervell (County)",22060,"","2023-05-22T03:41:22.800Z","24114e081b36e5a69aa870bae2f5f2183b6a5e5a","689b511c-20a5-4037-b326-9c7046bbb0bc",32.2547696,-97.7416703,2022,7
"FM-5443-TX",5443,"TX","FM","2022-07-07T00:00:00.000Z",2022,"Fire","HARD CASTLE FIRE",0,0,1,1,"2022-07-07T00:00:00.000Z","2022-07-16T00:00:00.000Z","",0,48,35,99035,"Bosque (County)",22054,"","2023-05-22T03:41:22.800Z","44aff490de0a4a789f810168c117b066a2bdba61","9d62e711-dfe1-463d-a793-088912626de9",31.8507607,-97.6982272,2022,7
"FM-5442-AK",5442,"AK","FM","2022-06-26T00:00:00.000Z",2022,"Fire","CLEAR FIRE",0,0,1,1,"2022-06-21T00:00:00.000Z","","",0,2,68,99068,"Denali (Borough)",22052,"","2023-05-22T03:41:22.800Z","9e371a92b6334398833fcd213f332cb33a93cd27","2b3fa10c-a4fe-4a20-a837-a074c00d015d",63.8257173,-149.7317834,2022,6
"FM-5442-AK",5442,"AK","FM","2022-06-26T00:00:00.000Z",2022,"Fire","CLEAR FIRE",0,0,1,1,"2022-06-21T00:00:00.000Z","","",0,2,290,99290,"Yukon-Koyukuk (Census Area)",22052,"","2023-05-22T03:41:22.800Z","0ddafe879c890f79c075e0df0f01c006c9c7ecb3","cc5a482f-0428-4db0-a5c6-30ed93e0b2a9",65.8443667,-153.4302993,2022,6
