femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4647-ME,4647,ME,DR,2022-03-15T00:00:00.000Z,2022,Coastal Storm,SEVERE STORM AND FLOODING,0,0,1,1,2021-10-30T00:00:00.000Z,2021-10-31T00:00:00.000Z,,0,23,13,99013,Knox (County),22021,,2023-05-22T03:41:22.800Z,79f286e104025c9fa47ab1192c0fcb0e7bdc4689,bd713519-102b-4675-b9cf-341d48bbc3c5,2022,44.12441708,-69.15278458
DR-4647-ME,4647,ME,DR,2022-03-15T00:00:00.000Z,2022,Coastal Storm,SEVERE STORM AND FLOODING,0,0,1,1,2021-10-30T00:00:00.000Z,2021-10-31T00:00:00.000Z,,0,23,27,99027,Waldo (County),22021,,2023-05-22T03:41:22.800Z,1b28fa8139be7762ed38ab8216628bb2aa2ca17b,8d614912-97a2-436f-a507-a5109247ad9f,2022,44.50136648,-69.14427892
DR-4647-ME,4647,ME,DR,2022-03-15T00:00:00.000Z,2022,Coastal Storm,SEVERE STORM AND FLOODING,0,0,1,1,2021-10-30T00:00:00.000Z,2021-10-31T00:00:00.000Z,,0,23,31,99031,"York (County)(in MSA 6400,6450)",22021,,2023-05-22T03:41:22.800Z,f16805eeae3f1644827c787f87507d446891c2b0,dd9450c1-edbf-4057-aafd-3d89dbb19d3d,2022,43.47829059,-70.7143165
DR-4370-NH,4370,NH,DR,2018-06-08T00:00:00.000Z,2018,Coastal Storm,SEVERE STORM AND FLOODING,0,0,1,1,2018-03-02T00:00:00.000Z,2018-03-08T00:00:00.000Z,,0,33,15,99015,"Rockingham (County)(in (P)MSA 4160,4760,6450)",18016,,2023-05-22T03:41:22.800Z,c39a9f0f85267a6e4d011048918f2c8b4b9bd03f,37ce4437-455a-4dc1-b188-96909f8efffa,2018,42.98749699,-71.12556353
DR-4369-AK,4369,AK,DR,2018-06-08T00:00:00.000Z,2018,Coastal Storm,SEVERE STORM,0,0,1,1,2017-12-04T00:00:00.000Z,2017-12-04T00:00:00.000Z,,0,2,122,99122,Kenai Peninsula (Borough),18005,,2023-05-22T03:41:22.800Z,5299d099b9adb223bd0dd9f9b16973f2b8cd4632,6c00e10b-5daf-4c3a-9137-61e795f7fd48,2018,60.2537748,-151.5611779
DR-4367-ME,4367,ME,DR,2018-05-30T00:00:00.000Z,2018,Coastal Storm,SEVERE STORM AND FLOODING,0,0,1,1,2018-03-02T00:00:00.000Z,2018-03-08T00:00:00.000Z,,0,23,31,99031,"York (County)(in MSA 6400,6450)",18012,,2023-05-22T03:41:22.800Z,f24b74bbd9161739570b396e020eede5e70994d5,4829a5fd-cd21-4c2a-959d-815dbe76fd9b,2018,43.47829059,-70.7143165
DR-4244-AK,4244,AK,DR,2015-10-30T00:00:00.000Z,2016,Coastal Storm,SEVERE STORM,0,0,1,1,2015-08-27T00:00:00.000Z,2015-08-27T00:00:00.000Z,,0,2,185,99185,North Slope (Borough),15085,,2023-05-22T03:41:22.800Z,6694c903ff289b049288f0809bee127c3bfb5014,52a888c8-0ee8-4010-88b0-bad874807c69,2015,69.31507516,-153.4702536
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,37,99037,East Feliciana (Parish),11252,,2023-05-22T03:41:22.800Z,f15d3ba16857f8f6853e213455d84b68522fbe01,8978eb90-7f3d-4541-bd77-fd0c9d69dac3,2011,30.8451603,-91.04553925
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,51,99051,Jefferson (Parish),11252,,2023-05-22T03:41:22.800Z,825b6947c71edc9d9899691373e45fe9ae0b19f5,62841c03-9bec-4805-9132-bd2f42e5f2bc,2011,29.74131251,-90.11275154
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,57,99057,Lafourche (Parish),11252,,2023-05-22T03:41:22.800Z,22cac341cd2c74c7b40fa5018e35985e3c1b63f3,a947b4e8-6d1b-4cb6-a568-877e065fea07,2011,29.55797842,-90.41865517
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,75,99075,Plaquemines (Parish),11252,,2023-05-22T03:41:22.800Z,37b3d4157605cf88087285029856a962cff4d607,521a2541-3dcb-415c-83d3-7293a74486fa,2011,29.43435182,-89.62329285
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,87,99087,St. Bernard (Parish),11252,,2023-05-22T03:41:22.800Z,9ecac496c52e14a1255ca35e27e278894840c798,2205f8b5-4cf2-44c7-82c6-492423a09a8a,2011,29.8750922,-89.53768188
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,89,99089,St. Charles (Parish),11252,,2023-05-22T03:41:22.800Z,ab96e503bb73693e7011a40511f8e8f1ea3b10ec,f4d5b726-890a-48de-9d53-34513d2412bd,2011,29.90559494,-90.35781296
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,109,99109,Terrebonne (Parish),11252,,2023-05-22T03:41:22.800Z,59ec095df132c865f34709ad77d75aea2f839d28,dc04a204-459f-4499-9299-5caaf1db9028,2011,29.40922061,-90.86454347
DR-4041-LA,4041,LA,DR,2011-10-28T00:00:00.000Z,2012,Coastal Storm,TROPICAL STORM LEE,0,0,1,1,2011-09-01T00:00:00.000Z,2011-09-05T00:00:00.000Z,2020-09-16T00:00:00.000Z,0,22,125,99125,West Feliciana (Parish),11252,,2023-05-22T03:41:22.800Z,ec252f6c684dd56bffcf3ad41f18f74a3cb0dff7,c7b82136-c5c3-404b-bbf5-7064f05913fe,2011,30.88038848,-91.42038292
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,1,99001,Acadia (Parish),19050,,2023-05-22T03:41:22.800Z,ccb0743434c809fe5173bc1b217c131758a12eb2,85d064dc-3e7d-476f-aed6-773e455f70f7,2019,30.29064732,-92.41163568
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,3,99003,Allen (Parish),19050,,2023-05-22T03:41:22.800Z,d002ba63f5a02a8c2feba702344eb8d0aa50ce84,a3e8f529-e86f-45a9-98a9-c754e0dd8821,2019,30.65238675,-92.82796914
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,5,99005,Ascension (Parish),19050,,2023-05-22T03:41:22.800Z,c7e1f50e98bd8bbc158745590350172c5748e796,959074f5-08c2-4a99-b6cd-3d636c149494,2019,30.20335229,-90.91101939
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,7,99007,Assumption (Parish),19050,,2023-05-22T03:41:22.800Z,474c80691e333ca52575d21ac134a8975f0309a9,6dd3323a-f16e-4918-bab3-827aeab1ec13,2019,29.90081675,-91.06263132
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,9,99009,Avoyelles (Parish),19050,,2023-05-22T03:41:22.800Z,3bdbe98913b0fdb3b087a716e4d5372a1b7cb587,9a8ccb8a-c1d4-4492-8dae-ed167e6b501c,2019,31.07634786,-92.001673
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,11,99011,Beauregard (Parish),19050,,2023-05-22T03:41:22.800Z,af379b136bc50759af1fcd08a9f927f6c3326d56,90224a4f-d803-429f-896d-46f8ba4104f3,2019,30.64776149,-93.3436646
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,19,99019,Calcasieu (Parish),19050,,2023-05-22T03:41:22.800Z,7fff7f45a6585cfa78511caa0150a250ef58bc4a,ed6c19b8-3eaa-40b9-993d-0508a4f76347,2019,30.22942198,-93.35798129
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,23,99023,Cameron (Parish),19050,,2023-05-22T03:41:22.800Z,abcfbc4debc07b5a47d96feb5f8f61e7c18b8f2d,7b75d045-4bac-48cc-a88e-2713dbb98c32,2019,29.87556075,-93.19458209
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,25,99025,Catahoula (Parish),19050,,2023-05-22T03:41:22.800Z,5da9217639f1c198a1b2e9aa7658fcd292371d26,cecb99c3-d7bc-4c09-bc7a-ea61cac52bab,2019,31.66623485,-91.84692484
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,29,99029,Concordia (Parish),19050,,2023-05-22T03:41:22.800Z,db6fdf8de052dc7745dbd77a18e7f68817de50d7,83c1679a-e7d6-4cd3-86b7-dba73e4a38e1,2019,31.44577009,-91.63992436
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,33,99033,East Baton Rouge (Parish),19050,,2023-05-22T03:41:22.800Z,0b78f374a2e56043640490256029eec7bf6aa3d0,b56b4259-8afb-42e4-be5f-f7c6fea36055,2019,30.53801719,-91.0956724
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,37,99037,East Feliciana (Parish),19050,,2023-05-22T03:41:22.800Z,a32650661c49c39aa8afb2a4d506a426de7b0727,46cdfc27-993c-4dca-b768-80ff5d67c671,2019,30.8451603,-91.04553925
EM-3416-LA,3416,LA,EM,2019-07-11T00:00:00.000Z,2019,Coastal Storm,TROPICAL STORM BARRY,0,0,1,0,2019-07-10T00:00:00.000Z,2019-07-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,0,22,39,99039,Evangeline (Parish),19050,,2023-05-22T03:41:22.800Z,f20044ba0f29b51b5a3c9bff3328014b59efa16f,6f252b49-4c53-4ce2-8f5f-e8e11f3b6532,2019,30.72890813,-92.40566294
