femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
FM-5389-AZ,5389,AZ,FM,2021-06-06T00:00:00.000Z,2021,Fire,TELEGRAPH FIRE,0,0,1,1,2021-06-06T00:00:00.000Z,,2023-09-29T00:00:00.000Z,0,4,7,99007,Gila (County),21041,,2023-09-29T21:02:14.142Z,14b4a2c314124cae33e8ec790782a12c2af10a4c,226d44a3-418a-4102-9a55-385ea6599b2a,2021,33.79996932,-110.8119677
FM-5389-AZ,5389,AZ,FM,2021-06-06T00:00:00.000Z,2021,Fire,TELEGRAPH FIRE,0,0,1,1,2021-06-06T00:00:00.000Z,,2023-09-29T00:00:00.000Z,0,4,21,99021,Pinal (County),21041,,2023-09-29T21:02:14.142Z,971d2204fdd213515f78a8575ca6fb14e66ca6fb,7304770a-6040-4bb2-b515-a50ffccefa40,2021,32.90415087,-111.34488
FM-5464-RI,5464,RI,FM,2023-04-14T00:00:00.000Z,2023,Fire,QUEENS RIVER FIRE,0,0,1,1,2023-04-14T00:00:00.000Z,2023-04-16T00:00:00.000Z,,0,44,9,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,,2023-05-22T03:41:22.800Z,1111d4d4a33f8a6e4d383ac5bd0e60b9bf142da0,9b9a9d9c-8b03-4049-9b16-a3c0d581556c,2023,41.46943509,-71.62328128
FM-5463-KS,5463,KS,FM,2023-04-13T00:00:00.000Z,2023,Fire,HADDAM FIRE,0,0,1,1,2023-04-13T00:00:00.000Z,2023-04-16T00:00:00.000Z,,0,20,201,99201,Washington (County),23038,,2023-05-22T03:41:22.800Z,78dd55a181f146622eb65835b5d794689d1ea7f2,57d936ce-a0d7-412a-9d78-18aee530c146,2023,39.78417855,-97.08751558
FM-5462-NE,5462,NE,FM,2023-04-09T00:00:00.000Z,2023,Fire,WACONDA-BEAVER LAKE FIRE COMPLEX,0,0,1,1,2023-04-08T00:00:00.000Z,,,0,31,25,99025,Cass (County),23036,,2023-05-22T03:41:22.800Z,5b35b5912f606a21ff29194317052ac7c2541be8,69325b2c-77cf-493f-8f1a-d5b5a737edf8,2023,40.90976087,-96.14069252
FM-5460-OK,5460,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"GAP ROAD FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31T00:00:00.000Z,,,0,40,147,99147,Washington (County),23032,,2023-05-22T03:41:22.800Z,b6fb3aa2f006c373cfbd6dd34e3a628593b95098,94f3b844-0e8f-4fdd-8375-9329e1af512a,2023,36.71527849,-95.90449238
FM-5459-OK,5459,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"HEFNER FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31T00:00:00.000Z,,,0,40,109,99109,Oklahoma (County),23033,,2023-05-22T03:41:22.800Z,c1258cf7b0b3df4e5b182f7325d8f377f8fb8fbd,e1c295fc-08e3-4776-9fbf-217f4928b38b,2023,35.55141319,-97.4075036
FM-5458-OK,5458,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"SIMPSON FIRE, OKLAHOMA FMAG ",0,0,1,1,2023-03-31T00:00:00.000Z,,,0,40,83,99083,Logan (County),23031,,2023-05-22T03:41:22.800Z,946226318bef541b8dc1830e8399da89b8f9fdfc,4469a003-2c67-47f3-9673-ceb101ad7e10,2023,35.91913897,-97.44308101
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,2022-10-09T00:00:00.000Z,,,0,53,11,99011,Clark (County),22097,,2023-05-22T03:41:22.800Z,534b816369fd5acd551a1ca41a2c18a8ae55af31,4bd093a2-ebcf-48d0-b05a-bb7e77e28546,2022,45.77919832,-122.4823115
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,2022-10-09T00:00:00.000Z,,,0,53,59,99059,Skamania (County),22097,,2023-05-22T03:41:22.800Z,94bc5699cf5392cfcd9bd07d5bc4615165981907,0057f917-4982-456e-8a69-ffeef1810b09,2022,46.02280969,-121.9148915
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,,,0,53,33,99033,King (County),22083,,2023-05-22T03:41:22.800Z,4433554505599c3eb2091140c88bbc526ee419a4,4a2bdfa4-c58c-411a-8cfe-314434a8efe4,2022,47.49034831,-121.8063614
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,,,0,53,61,99061,Snohomish (County),22083,,2023-05-22T03:41:22.800Z,20e3a45f98ce704c2608dc73cbaaf92e467ec3c2,d1fa7663-77d4-4f50-a871-8f680dfe2278,2022,48.04772437,-121.6977603
FM-5454-OR,5454,OR,FM,2022-09-10T00:00:00.000Z,2022,Fire,MILO MCIVER FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,,,0,41,5,99005,Clackamas (County),22082,,2023-05-22T03:41:22.800Z,e6a22014b7992309eb79d7fce282decfa0704ba9,c4850ea2-3ff2-4de1-8124-686a9636f147,2022,45.18820387,-122.2205544
FM-5452-ID,5452,ID,FM,2022-09-05T00:00:00.000Z,2022,Fire,ROSS FORK FIRE,0,0,1,1,2022-09-05T00:00:00.000Z,,,0,16,13,99013,Blaine (County),22078,,2023-05-22T03:41:22.800Z,989315a69d75fc168022d090368def59aee300f3,7efda5df-b5cf-47e5-9739-9336596c84a7,2022,43.41242641,-113.980642
FM-5449-ID,5449,ID,FM,2022-08-19T00:00:00.000Z,2022,Fire,FOUR CORNERS FIRE,0,0,1,1,2022-08-18T00:00:00.000Z,,,0,16,3,99003,Adams (County),22072,,2023-05-22T03:41:22.800Z,7746dc17b9329c05d0e45bfd2e85fd74db7b8794,06a1a18f-bbb9-4002-8527-3e41b1fcd667,2022,44.88931492,-116.4539483
FM-5449-ID,5449,ID,FM,2022-08-19T00:00:00.000Z,2022,Fire,FOUR CORNERS FIRE,0,0,1,1,2022-08-18T00:00:00.000Z,,,0,16,45,99045,Gem (County),22072,,2023-05-22T03:41:22.800Z,f9aced312511f157b3e4922a193d83de352588dd,fdcbf1c9-51dd-40c8-ae5c-a1607645a19b,2022,44.0602805,-116.3979457
FM-5449-ID,5449,ID,FM,2022-08-19T00:00:00.000Z,2022,Fire,FOUR CORNERS FIRE,0,0,1,1,2022-08-18T00:00:00.000Z,,,0,16,85,99085,Valley (County),22072,,2023-05-22T03:41:22.800Z,8f1d18ecdf123ada3db0e4ab0806ae2eccd13753,5f64c5a8-d918-4a08-ac80-38ea6111d410,2022,44.76650867,-115.5662454
FM-5448-NV,5448,NV,FM,2022-08-14T00:00:00.000Z,2022,Fire,JOY LAKE FIRE,0,0,1,1,2022-08-14T00:00:00.000Z,,,0,32,31,99031,Washoe (County),22070,,2023-05-22T03:41:22.800Z,152843e7fbe0d762d8eaea91b6014b6ead46554c,c20dbe34-1c92-456e-a542-871dfa98f109,2022,40.66566815,-119.6643222
FM-5447-WA,5447,WA,FM,2022-08-04T00:00:00.000Z,2022,Fire,LIND FIRE,0,0,1,1,2022-08-04T00:00:00.000Z,,,0,53,1,99001,Adams (County),22068,,2023-05-22T03:41:22.800Z,8679338df2608ead2ba36b068b8719d5e5a3fa16,7031fde7-b8f3-4025-9abd-6555711e6665,2022,46.98352425,-118.5603559
FM-5446-OR,5446,OR,FM,2022-08-03T00:00:00.000Z,2022,Fire,MILLER ROAD FIRE,0,0,1,1,2022-08-02T00:00:00.000Z,,,0,41,65,99065,Wasco (County),22066,,2023-05-22T03:41:22.800Z,a96c383456ba42f77ef4b16458add47cea46641d,b28bde8a-be19-49f8-b77d-292df5c70779,2022,45.16003768,-121.1678419
FM-5444-TX,5444,TX,FM,2022-07-19T00:00:00.000Z,2022,Fire,CHALK MOUNTAIN FIRE,0,0,1,1,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,,0,48,221,99221,Hood (County),22060,,2023-05-22T03:41:22.800Z,7daf0dad81dc2b01c582786dfa442dc33fb3b76f,57cd8ff3-7ea3-49f6-923c-0c2573fa6582,2022,32.43002712,-97.83219383
FM-5444-TX,5444,TX,FM,2022-07-19T00:00:00.000Z,2022,Fire,CHALK MOUNTAIN FIRE,0,0,1,1,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,,0,48,425,99425,Somervell (County),22060,,2023-05-22T03:41:22.800Z,24114e081b36e5a69aa870bae2f5f2183b6a5e5a,689b511c-20a5-4037-b326-9c7046bbb0bc,2022,32.22235362,-97.77458843
FM-5443-TX,5443,TX,FM,2022-07-07T00:00:00.000Z,2022,Fire,HARD CASTLE FIRE,0,0,1,1,2022-07-07T00:00:00.000Z,2022-07-16T00:00:00.000Z,,0,48,35,99035,Bosque (County),22054,,2023-05-22T03:41:22.800Z,44aff490de0a4a789f810168c117b066a2bdba61,9d62e711-dfe1-463d-a793-088912626de9,2022,31.90035901,-97.63435711
FM-5442-AK,5442,AK,FM,2022-06-26T00:00:00.000Z,2022,Fire,CLEAR FIRE,0,0,1,1,2022-06-21T00:00:00.000Z,,,0,2,68,99068,Denali (Borough),22052,,2023-05-22T03:41:22.800Z,9e371a92b6334398833fcd213f332cb33a93cd27,2b3fa10c-a4fe-4a20-a837-a074c00d015d,2022,63.67343339,-150.0094238
FM-5442-AK,5442,AK,FM,2022-06-26T00:00:00.000Z,2022,Fire,CLEAR FIRE,0,0,1,1,2022-06-21T00:00:00.000Z,,,0,2,290,99290,Yukon-Koyukuk (Census Area),22052,,2023-05-22T03:41:22.800Z,0ddafe879c890f79c075e0df0f01c006c9c7ecb3,cc5a482f-0428-4db0-a5c6-30ed93e0b2a9,2022,65.50922918,-151.3897031
FM-5441-AZ,5441,AZ,FM,2022-06-12T00:00:00.000Z,2022,Fire,PIPELINE FIRE,0,0,1,1,2022-06-12T00:00:00.000Z,,,0,4,5,99005,Coconino (County),22047,,2023-05-22T03:41:22.800Z,b743a683eede61fafcc1a483dd5e63b7315a7380,9eb8d5e8-5dbf-4db2-8d1f-92d57cb510e6,2022,35.83875351,-111.7705493
FM-5440-TX,5440,TX,FM,2022-05-18T00:00:00.000Z,2022,Fire,MESQUITE HEAT FIRE,0,0,1,1,2022-05-18T00:00:00.000Z,,,0,48,441,99441,Taylor (County),22043,,2023-05-22T03:41:22.800Z,eb5f322721b6d78d08d0afc960a1daf7484342f9,c0b159a8-5185-4d41-8326-dd82831e9b00,2022,32.30175703,-99.88996827
FM-5438-NM,5438,NM,FM,2022-04-30T00:00:00.000Z,2022,Fire,CALF CANYON FIRE,0,0,1,1,2022-04-20T00:00:00.000Z,,,0,35,47,99047,San Miguel (County),22038,,2023-05-22T03:41:22.800Z,92e02ef1cfe2a732debfab5995cc3c021174346f,fe4d6349-0fca-489f-89fc-cdf3be771315,2022,35.48004639,-104.8156292
FM-5437-NM,5437,NM,FM,2022-04-28T00:00:00.000Z,2022,Fire,COOK'S PEAK FIRE,0,0,1,1,2022-04-28T00:00:00.000Z,,,0,35,7,99007,Colfax (County),22036,,2023-05-22T03:41:22.800Z,29c0d3743d864a6b9202c86d25572759bb41e9e3,be7c8759-3ba5-40f8-8e26-c61e4038694b,2022,36.60619925,-104.6468731
FM-5436-NE,5436,NE,FM,2022-04-23T00:00:00.000Z,2022,Fire,ROAD 702 FIRE,0,0,1,1,2022-04-22T00:00:00.000Z,,,0,31,63,99063,Frontier (County),22034,,2023-05-22T03:41:22.800Z,5d579742836477f2872d933e102f1447562d0b5d,0288010f-4568-48ad-8b8d-d45d2db4f4a1,2022,40.53024724,-100.3936643
FM-5436-NE,5436,NE,FM,2022-04-23T00:00:00.000Z,2022,Fire,ROAD 702 FIRE,0,0,1,1,2022-04-22T00:00:00.000Z,,,0,31,65,99065,Furnas (County),22034,,2023-05-22T03:41:22.800Z,b110b6c0865840d231256b77033e1d65795ea757,feeea545-51d5-49ec-bb2a-de97e4b9bb55,2022,40.17646227,-99.91249504
FM-5471-OR,5471,OR,FM,2023-07-23T00:00:00.000Z,2023,Fire,GOLDEN FIRE,0,0,1,1,2023-07-22T00:00:00.000Z,,,0,41,35,99035,Klamath (County),23077,,2023-07-25T16:02:04.486Z,2650eab006a74bdc18d8523f01d212899398ba50,4001b293-2c85-4e5a-a2d7-3578c9d77bad,2023,42.68605026,-121.6500072
FM-5436-NE,5436,NE,FM,2022-04-23T00:00:00.000Z,2022,Fire,ROAD 702 FIRE,0,0,1,1,2022-04-22T00:00:00.000Z,,,0,31,145,99145,Red Willow (County),22034,,2023-05-22T03:41:22.800Z,88954cdfe06d3557c637c5ff1f9f92e87c35dee2,23450fb1-c69f-41ee-b076-22d3ea60ac21,2022,40.17604429,-100.477247
FM-5435-AZ,5435,AZ,FM,2022-04-19T00:00:00.000Z,2022,Fire,CROOKS FIRE,0,0,1,1,2022-04-18T00:00:00.000Z,,,0,4,25,99025,Yavapai (County),22032,,2023-05-22T03:41:22.800Z,b63d73daaf91745b42503e2649b5fa7d7d2aedc8,5501aaf3-2ec7-4d4c-a8ce-1fb84d9b2c68,2022,34.59969928,-112.5538467
FM-5433-NM,5433,NM,FM,2022-04-12T00:00:00.000Z,2022,Fire,NOGAL CANYON FIRE,0,0,1,1,2022-04-12T00:00:00.000Z,,,0,35,27,99027,Lincoln (County),22030,,2023-05-22T03:41:22.800Z,23e1b6668a4b5fb649e300aa714266695b2d2d20,e147c760-e268-4535-a1cf-50c6b12a85bd,2022,33.74510826,-105.4585461
FM-5432-NM,5432,NM,FM,2022-04-12T00:00:00.000Z,2022,Fire,MCBRIDE FIRE,0,0,1,1,2022-04-12T00:00:00.000Z,,,0,35,27,99027,Lincoln (County),22029,,2023-05-22T03:41:22.800Z,0206154aa2f5eeba597a58b738ff8a15bf59fb5a,56438fb6-2fdd-4fcf-88ef-247997684ce4,2022,33.74510826,-105.4585461
FM-5431-NM,5431,NM,FM,2022-04-12T00:00:00.000Z,2022,Fire,HERMIT'S PEAK FIRE,0,0,1,1,2022-04-12T00:00:00.000Z,,,0,35,47,99047,San Miguel (County),22028,,2023-05-22T03:41:22.800Z,b89b96f0951fd9816fe0b573a96182938c46cfef,2599ea83-e1c5-42ab-9f16-977015fcdbe6,2022,35.48004639,-104.8156292
FM-5430-NM,5430,NM,FM,2022-04-11T00:00:00.000Z,2022,Fire,BIG HOLE FIRE,0,0,1,1,2022-04-11T00:00:00.000Z,,,0,35,61,99061,Valencia (County),22027,,2023-05-22T03:41:22.800Z,72e359775509cd02fcf30928d48b61d82b859b0c,c9f1b818-681c-4eab-8f2c-01ebbbecb839,2022,34.71536166,-106.8090108
FM-5429-TX,5429,TX,FM,2022-03-20T00:00:00.000Z,2022,Fire,BIG L FIRE,0,0,1,1,2022-03-20T00:00:00.000Z,2022-03-30T00:00:00.000Z,,0,48,221,99221,Hood (County),22024,,2023-05-22T03:41:22.800Z,4027b9ab49a82434d1ea588930a5e8f6790ab44f,2fb2d63c-74a5-4ff4-98a2-3fbc824c759a,2022,32.43002712,-97.83219383
