femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4104-AZ,4104,AZ,DR,2013-03-05T00:00:00.000Z,2013,Freezing,SEVERE FREEZE,0,0,1,1,2012-12-15T00:00:00.000Z,2013-01-21T00:00:00.000Z,,1,4,0,48845,Navajo Nation Reservation (Also NM and UT),13006,,2023-05-22T03:41:22.800Z,9248af6d516aa6471ff3fe69c423610e85f4ff77,07fed854-fc49-43d8-ae9f-71c125585276,2013,,
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,19,99019,Fresno (County),7795,,2023-05-22T03:41:22.800Z,9380b7c8dc1df10ad40576fae1f2a5337b007e8f,93958d80-4d84-4587-9954-d780543c8534,2007,36.75807672,-119.6506833
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,25,99025,Imperial (County),7795,,2023-05-22T03:41:22.800Z,c17b14c12fd66666c926433a24f068737611a9ce,43b2a562-9522-43be-84cf-7a25ac342c23,2007,33.03935669,-115.3657218
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,29,99029,Kern (County),7795,,2023-05-22T03:41:22.800Z,0bc8bd69bee939df0072d480ddeaa7d9b708d3be,54c014b8-bfa6-4a09-b119-c1fcd9ffdefe,2007,35.34292819,-118.72959
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,31,99031,Kings (County),7795,,2023-05-22T03:41:22.800Z,ea32f14f3f8c067a315c027d4885c4d6a0a3c9d8,717fca78-a4d7-40e4-a89c-adaf305fd36d,2007,36.07520008,-119.8151995
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,37,99037,Los Angeles (County),7795,,2023-05-22T03:41:22.800Z,882ec83668ebe901a912138312141bf70ce1f5a5,7929e4a1-a341-44f4-b17b-596f13af31c1,2007,34.32134579,-118.224703
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,39,99039,Madera (County),7795,,2023-05-22T03:41:22.800Z,bceaedd41a690dbd223673528ca8533dead1152b,49026251-9e79-42a4-865f-daf479a71f5e,2007,37.21825802,-119.7624357
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,47,99047,Merced (County),7795,,2023-05-22T03:41:22.800Z,c9f00e008fe7cdec43d1c32d4e59006c42a8ac0f,d3da59f0-0af0-4233-aff1-7af02f76c1f2,2007,37.19189197,-120.7175058
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,53,99053,Monterey (County),7795,,2023-05-22T03:41:22.800Z,ee5755c579bfc1c7dcbd4b884cf358bc261e3ad3,a9e9ca02-33cd-4a11-a638-6215aaf57486,2007,36.21711865,-121.2387503
DR-1689-CA,1689,CA,DR,2007-03-13T00:00:00.000Z,2007,Freezing,SEVERE FREEZE,0,1,0,1,2007-01-11T00:00:00.000Z,2007-01-17T00:00:00.000Z,2014-01-08T00:00:00.000Z,0,6,65,99065,Riverside (County),7795,,2023-05-22T03:41:22.800Z,3e82ec7f060f9c113810274c0eebb0ed914fe821,4784e8a6-a089-468c-8849-2f3b0a8593fa,2007,33.74329781,-115.9939021
