femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4603-WV,4603,WV,DR,2021-05-13T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,,0,54,11,99011,Cabell (County),21029,,2023-05-22T03:41:22.800Z,87efe27485131d5eb90cc9c95c0966ec833c6b64,75a72cb5-0e5e-4132-a8ae-852c6e47a497,2021,38.42049789,-82.24144949
DR-4603-WV,4603,WV,DR,2021-05-13T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,,0,54,43,99043,Lincoln (County),21029,,2023-05-22T03:41:22.800Z,032c5fdddf577f88827556f9b0b38d22310fb37b,8bc18e3d-f5e8-475a-998b-d4d187b05ea6,2021,38.17536985,-82.07055835
DR-4603-WV,4603,WV,DR,2021-05-13T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,,0,54,53,99053,Mason (County),21029,,2023-05-22T03:41:22.800Z,5f387b4ba6457b6148dccf390f5340f46f2ecb72,46fee758-234f-4189-8c75-5621797f5eaa,2021,38.7698088,-82.02651429
DR-4603-WV,4603,WV,DR,2021-05-13T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,,0,54,79,99079,Putnam (County),21029,,2023-05-22T03:41:22.800Z,26f43891dd2e4ccd4add977bca9948ddf9b7e636,6721e791-205e-4db9-8e74-76c59faa47af,2021,38.5085024,-81.90915525
DR-4603-WV,4603,WV,DR,2021-05-13T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,,0,54,99,99099,Wayne (County),21029,,2023-05-22T03:41:22.800Z,25277aa9de4d10aec922d2e387d91c81ef5fcdf9,c6b63c85-98b4-4554-a578-4a74061ac877,2021,38.14585251,-82.42685819
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,7,99007,Amelia (County),21032,,2023-05-22T03:41:22.800Z,121927cbbcf5149f87f3a302c6ee1579eb0f7dd4,cc67763d-e5db-494a-a90d-058bea77259d,2021,37.33550025,-77.9752747
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,11,99011,Appomattox (County),21032,,2023-05-22T03:41:22.800Z,6d13e51e6c65d6664399de54bb9c5b90148a734a,b0fb2c97-006c-49f1-9a90-14571765f80f,2021,37.37242345,-78.81172877
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,19,99019,Bedford (County),21032,,2023-05-22T03:41:22.800Z,592c9b22f3f3b9597e87b00ed32180a3ef7bf287,f80b5dad-a9aa-4c8f-a455-69656f9cad53,2021,37.31502696,-79.52391814
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,25,99025,Brunswick (County),21032,,2023-05-22T03:41:22.800Z,baf15e5d99a551135ce68f2d2adbb1d94efcd1b8,c6583a1f-b97c-4506-8b74-4281f893cf39,2021,36.76457633,-77.85881453
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,31,99031,Campbell (County),21032,,2023-05-22T03:41:22.800Z,aca0172bb8b0f58eb8f7cb1298035e3afd68c680,d78034de-e6be-41be-a5ae-e587664aaa07,2021,37.20561193,-79.09657032
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,33,99033,Caroline (County),21032,,2023-05-22T03:41:22.800Z,d9745f444e24f2ca3e41d03443981ba0371e1798,51e04050-7264-4f19-a036-7f8ab5f65520,2021,38.02701807,-77.34662195
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,37,99037,Charlotte (County),21032,,2023-05-22T03:41:22.800Z,2836e975745a0b9d50619dc4bc17c53938858795,0ee4ca77-f1cb-48bb-8022-73d0875d287b,2021,37.0117581,-78.66167401
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,41,99041,Chesterfield (County),21032,,2023-05-22T03:41:22.800Z,82010c44d88326581c1c87df3d861a2e340b7d1e,3b9f8911-be7f-434c-9b88-e469caa16cb5,2021,37.37880418,-77.58654268
DR-4602-VA,4602,VA,DR,2021-05-10T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,,0,51,49,99049,Cumberland (County),21032,,2023-05-22T03:41:22.800Z,a70716c4ca98b72bdbdfa7295693096914b95c59,afe90de7-97c1-499c-92bd-15e4134d6e45,2021,37.51182231,-78.24455011
