femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4694-NY,4694,NY,DR,2023-03-15T00:00:00.000Z,2023,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,,0,36,37,99037,Genesee (County),23017,,2023-05-22T03:41:22.800Z,f501b8b514bc48f132925595ebc187780040e08d,903209b3-b385-455b-888d-68c62459ed8c,2023,43.00056703,-78.19407819
DR-4694-NY,4694,NY,DR,2023-03-15T00:00:00.000Z,2023,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,,0,36,89,99089,St. Lawrence (County),23017,,2023-05-22T03:41:22.800Z,accb9b174efd5785b061c648e72b9839f8ae183d,ddf460a8-7c42-4e0c-b53e-51079aee13c9,2023,44.49647794,-75.06907698
DR-4694-NY,4694,NY,DR,2023-03-15T00:00:00.000Z,2023,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,,0,36,103,99103,Suffolk (County),23017,,2023-05-22T03:41:22.800Z,442b5fe3d32d5ec3c5d97876f66e7bed34c681de,27365c0b-fd9f-4d0b-a24b-f58403255f0c,2023,40.87024178,-72.84423227
DR-4694-NY,4694,NY,DR,2023-03-15T00:00:00.000Z,2023,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,1,0,1,1,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,,0,36,29,99029,Erie (County),23017,,2023-05-22T03:41:22.800Z,4ceded7f806e5115e67c42f958218787cc93be22,5a1bebdb-2f89-457f-9236-21c3be3b7923,2023,42.76409998,-78.73230753
DR-4694-NY,4694,NY,DR,2023-03-15T00:00:00.000Z,2023,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,1,0,1,1,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,,0,36,63,99063,Niagara (County),23017,,2023-05-22T03:41:22.800Z,8bb344c5970bebed066f3deeaceeeaf70156420e,40f92864-805b-4ccc-b21d-dbc8a0799290,2023,43.20013175,-78.7453209
DR-4686-ND,4686,ND,DR,2023-02-05T00:00:00.000Z,2023,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",0,0,1,1,2022-11-09T00:00:00.000Z,2022-11-11T00:00:00.000Z,,0,38,21,99021,Dickey (County),23003,,2023-05-22T03:41:22.800Z,60c404682ab8db50ac1c54e285b92bbe00f6c68c,a61a9dea-0175-4eea-861e-087ade648b90,2023,46.11017237,-98.50488391
DR-4686-ND,4686,ND,DR,2023-02-05T00:00:00.000Z,2023,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",0,0,1,1,2022-11-09T00:00:00.000Z,2022-11-11T00:00:00.000Z,,0,38,43,99043,Kidder (County),23003,,2023-05-22T03:41:22.800Z,1882acc941d0b19e3546a1198f6d7a49213f7e8b,5cddc613-de6b-4292-a1fd-47cf232d116f,2023,46.98013909,-99.78013842
DR-4686-ND,4686,ND,DR,2023-02-05T00:00:00.000Z,2023,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",0,0,1,1,2022-11-09T00:00:00.000Z,2022-11-11T00:00:00.000Z,,0,38,57,99057,Mercer (County),23003,,2023-05-22T03:41:22.800Z,af2e3b13447a12406a9d11fa660579fd0420183f,74963276-2b8a-4e87-83ec-cb08e0d6ecd2,2023,47.30905996,-101.8317306
DR-4686-ND,4686,ND,DR,2023-02-05T00:00:00.000Z,2023,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",0,0,1,1,2022-11-09T00:00:00.000Z,2022-11-11T00:00:00.000Z,,0,38,63,99063,Nelson (County),23003,,2023-05-22T03:41:22.800Z,9bf39ffe50f828a38bb95e21f5b352e3d80791d6,e9637207-6a28-4f4e-9445-319c1977383b,2023,47.92171706,-98.19212605
DR-4686-ND,4686,ND,DR,2023-02-05T00:00:00.000Z,2023,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",0,0,1,1,2022-11-09T00:00:00.000Z,2022-11-11T00:00:00.000Z,,0,38,73,99073,Ransom (County),23003,,2023-05-22T03:41:22.800Z,da2d351eced52a07b061ec3b2639b5548fd721e3,ab0a227c-6a49-40e1-afab-a7cf312271bd,2023,46.45621782,-97.65742504
