femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,6400,Big Cypress Indian Reservation,22102,,2023-06-01T12:01:12.239Z,c772bf94ec848fe57885223d1cb91b12fc37ebc4,d6c1c0f4-c64d-4c98-8723-f40d07c57116,2022,,
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,8550,Brighton Indian Reservation,22102,,2023-06-01T12:01:12.239Z,a04be8f6d0c8d1afa2fcea7b15f4ee00796fd797,c0909b4b-c74e-4b3b-801b-34c6e953e6cf,2022,,
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,24330,Fort Pierce Indian Reservation,22102,,2023-06-01T12:01:12.239Z,9dd078efe1e309cb6e68589ba86ed3479a9b18ca,f984de06-d457-48c6-873f-e1c2b6177ac7,2022,,
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,32125,Hollywood Indian Reservation,22102,,2023-06-01T12:01:12.239Z,e4fb8abcfdcc62762581ed61984c8a506f5f4d9f,ee47aecc-dfea-46e1-a323-0cb88e1eeed5,2022,,
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,33260,Immokalee Indian Reservation,22102,,2023-06-01T12:01:12.239Z,dcf5877d0f5b3770a5ea8d4a58fd3e335e7576b2,b9472844-19de-4d09-9601-723d5e143b57,2022,,
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,65033,Seminole Indian Trust Lands,22102,,2023-06-01T12:01:12.239Z,357a67477f4078f62da5e94022baf615237668f2,326a98c8-b0eb-4a13-8ac8-256c7584462b,2022,,
EM-3588-FL,3588,FL,EM,2022-11-09T00:00:00.000Z,2023,Tropical Storm,SEMINOLE TRIBE OF FLORIDA TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,,2023-05-31T00:00:00.000Z,1,12,0,71038,Tampa Reservation,22102,,2023-06-01T12:01:12.239Z,59ba6f425476b8af3021167e98aaa1f249e9b873,9c61d848-cd04-4884-b1db-30c80457b389,2022,,
EM-3594-GU,3594,GU,EM,2023-05-22T00:00:00.000Z,2023,Tropical Storm,TYPHOON MAWAR,0,0,1,0,2023-05-22T00:00:00.000Z,2023-05-29T00:00:00.000Z,,0,66,10,99010,Guam (County-equivalent),23053,,2023-06-09T23:01:24.005Z,327362f03bce2906bc3d7db16bb8993b2647b1f6,40c020f5-265a-43e2-b8a9-006fd0bae8c7,2023,13.44160435,144.7724429
EM-3593-MP,3593,MP,EM,2023-05-22T00:00:00.000Z,2023,Tropical Storm,TYPHOON MAWAR,0,0,1,0,2023-05-22T00:00:00.000Z,2023-05-29T00:00:00.000Z,,0,69,10,99010,Northern Mariana Islands (County-equivalent),23052,,2023-07-06T23:01:56.710Z,82394a69403434adb8752052682f61b16f8c6ad7,41ed983b-4cca-4da0-bd30-180f17c18b91,2023,,
EM-3593-MP,3593,MP,EM,2023-05-22T00:00:00.000Z,2023,Tropical Storm,TYPHOON MAWAR,0,0,1,0,2023-05-22T00:00:00.000Z,2023-05-29T00:00:00.000Z,,0,69,85,99085,Northern Islands (Municipality),23052,,2023-07-06T23:01:56.710Z,275126b92662f59cf09f80922763582781df881d,0a4b3ff2-fe3a-47f2-8076-4520968be563,2023,17.86407261,145.706722
