femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
DR-4366-HI,4366,HI,DR,2018-05-11T00:00:00.000Z,2018,Volcanic Eruption,KILAUEA VOLCANIC ERUPTION AND EARTHQUAKES,1,0,1,1,2018-05-03T00:00:00.000Z,2018-08-17T00:00:00.000Z,,0,15,1,99001,Hawaii (County),18027,2018-09-12T00:00:00.000Z,2023-05-22T03:41:22.800Z,1797a7d1d4730804198aeee5562b0e974023332e,278fe11e-7256-4a80-9a1a-e59d054f72e7,2018,19.60123507,-155.5211676
DR-4201-HI,4201,HI,DR,2014-11-03T00:00:00.000Z,2015,Volcanic Eruption,PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW,0,0,1,1,2014-09-04T00:00:00.000Z,2015-03-25T00:00:00.000Z,,0,15,1,99001,Hawaii (County),14096,,2023-05-22T03:41:22.800Z,29fd6fcb0feed21828f1adf186b4c93d95bc941c,22449de5-e29d-4085-91f0-fc5f948d5bcb,2014,19.60123507,-155.5211676
DR-864-HI,864,HI,DR,1990-05-18T00:00:00.000Z,1990,Volcanic Eruption,"LAVA FLOW, KILAUEA VOLCANO",0,1,1,0,1983-01-24T00:00:00.000Z,1997-01-27T00:00:00.000Z,2005-01-31T00:00:00.000Z,0,15,1,99001,Hawaii (County),90019,,2023-05-22T03:41:22.800Z,2e889746b13f004b84fd00e7557aee346ab07ef9,41be5c04-7045-49df-ade6-302bd6c8c694,1990,19.60123507,-155.5211676
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,9,99009,Benewah (County),80040,,2023-05-22T03:41:22.800Z,4d016d595dcecd6c977f46b608b33be8d9c64487,f43afaee-dbee-4a17-9693-b4adf1c9a6a3,1980,47.21772961,-116.6586207
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,17,99017,Bonner (County),80040,,2023-05-22T03:41:22.800Z,16bd035f28a40ed16dded92de5cf4afe0acd4eb9,b2c88dca-80b5-46b6-b903-cf0b63a2cabe,1980,48.2996896,-116.6009928
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,21,99021,Boundary (County),80040,,2023-05-22T03:41:22.800Z,af4e5754323b9ae4e9d7034ddfbd73ab2d2d52ef,2e28faab-82d5-4dc0-91c7-25aa1bc2af2d,1980,48.766998,-116.4627525
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,35,99035,Clearwater (County),80040,,2023-05-22T03:41:22.800Z,e13b791bf979ded73386b799071615d275fca471,c9ac9037-37bb-4c0c-aaf7-611bbcb1ff19,1980,46.67349275,-115.656021
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,55,99055,Kootenai (County),80040,,2023-05-22T03:41:22.800Z,dc32fe5919c17acddc44d64f4b40a9210904bdda,7420e12b-a5ae-4f44-ae42-f6e9cab98de5,1980,47.6744641,-116.7000308
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,57,99057,Latah (County),80040,,2023-05-22T03:41:22.800Z,c63c47046852a9cbe8eceb3dcb6e76f9c7987af4,37a0db05-2204-4d9b-aa1f-d25f34d006e0,1980,46.81645625,-116.7117113
DR-624-ID,624,ID,DR,1980-05-22T00:00:00.000Z,1980,Volcanic Eruption,"VOLCANIC ERUPTION, MT. ST. HELENS",0,1,1,0,1980-05-22T00:00:00.000Z,1980-05-22T00:00:00.000Z,1984-11-30T00:00:00.000Z,0,16,69,99069,Nez Perce (County),80040,,2023-05-22T03:41:22.800Z,d8dc84cf0fb540086707e333513e7c247d022a48,f57c90ee-923e-450d-96ca-c10938f8fcc8,1980,46.32729495,-116.7498104
